port_id,port_name,city_id,country,latitude,longitude,unlocode,max_depth_m,berth_count,cargo_handling_capacity_tonnes,ice_class_support,storage_area_sq_m,fuel_services,port_fees_usd,annual_vessel_calls,operator,ownership_type,sources,confidence,last_verified
ARC-PORT-001,Murmansk Commercial Sea Port,ARC-CITY-001,Russia,68.9841,33.0610,RUMMK,14.5,45,19000000,Arc4-Arc7,850000,Yes,25000-80000,2200,Murmansk Commercial Sea Port JSC,Private (SUEK/EuroChem),,,
ARC-PORT-002,Arkhangelsk Sea Port,ARC-CITY-002,Russia,64.5393,40.5185,RUARH,12.0,28,8500000,Arc3-Arc5,320000,Yes,15000-45000,850,Arkhangelsk Sea Port JSC,State,,,
ARC-PORT-003,Dudinka Sea Port,ARC-CITY-004,Russia,69.4091,86.1775,RUDUD,13.5,18,12000000,Arc5-Arc7,450000,Yes,35000-75000,420,Norilsk Nickel,Private,,,
ARC-PORT-004,Sabetta LNG Terminal,ARC-CITY-005,Russia,71.2560,72.0520,RUSBT,15.5,4,30000000,Arc7,120000,Yes,150000-300000,280,Yamal LNG/Novatek,Private,,,
ARC-PORT-005,Pevek Commercial Port,ARC-CITY-006,Russia,69.7008,170.2700,RUPEV,9.0,8,2500000,Arc4-Arc6,65000,Yes,18000-42000,120,Chukotka Sea Port,State,,,
ARC-PORT-006,Tiksi Sea Port,ARC-CITY-007,Russia,71.6400,128.8600,RUTIK,8.5,6,1200000,Arc3-Arc5,28000,Yes,12000-28000,85,Tiksi Sea Port,State,,,
ARC-PORT-007,Dikson Sea Port,ARC-CITY-008,Russia,73.5070,80.5460,RUDIK,7.5,4,800000,Arc3-Arc4,15000,Yes,10000-22000,45,Dikson Sea Port,State,,,
ARC-PORT-008,Khatanga River Port,ARC-CITY-009,Russia,71.9800,102.4700,RUKHA,6.5,5,600000,Arc3-Arc4,12000,Yes,8000-18000,32,Khatanga Port Authority,State,,,
ARC-PORT-009,Nuuk Port,ARC-CITY-010,Greenland,64.1814,-51.6941,GLGOH,12.0,15,3500000,None,180000,Yes,20000-55000,380,Royal Arctic Line,State-owned,,,
ARC-PORT-010,Sisimiut Port,ARC-CITY-011,Greenland,66.9400725,-53.6749927,GLJNS,10.0,8,1200000,None,65000,Yes,12000-32000,145,Royal Arctic Line,State-owned,,,2026-09-08
ARC-PORT-011,Ilulissat Port,ARC-CITY-012,Greenland,69.2198,-51.0986,GLJAV,9.5,6,800000,None,45000,Yes,10000-28000,95,Royal Arctic Line,State-owned,,,
ARC-PORT-012,Reykjavik Port,ARC-CITY-013,Iceland,64.1564348,-21.8666787,ISREY,13.0,22,6500000,None,280000,Yes,25000-70000,1250,Reykjavik Port Authority,State-owned,OSM amenity=ferry_terminal Skarfabakki Sundahöfn (main Reykjavík cargo/harbour zone); densify off downtown centroid 2026-09-08 GIS loop,,2026-09-08
ARC-PORT-013,Akureyri Port,ARC-CITY-014,Iceland,65.6851709,-18.0790671,ISAKU,10.5,12,2100000,None,85000,Yes,15000-38000,420,Akureyri Port Authority,State-owned,,,2026-09-08
ARC-PORT-014,Tromso Port,ARC-CITY-015,Norway,69.6507379,18.9649587,NOTOS,11.0,18,4200000,Arc3-Arc4,165000,Yes,22000-58000,850,Troms Havn,State-owned,OSM landuse=harbour Tromsø indre havn; densify off city centroid 2026-09-08 GIS loop,,2026-09-08
ARC-PORT-015,Kirkenes Port,ARC-CITY-016,Norway,69.7278875,30.0717814,NOKKN,10.5,8,2800000,Arc4-Arc5,95000,Yes,18000-45000,320,Kirkenes Havn KF (municipal enterprise; dissolving into Sor-Varanger kommune administration from 2027-01-01),State-owned,OSM amenity=bus_station Kirkenes kai Kaiveien harbour; densify off city centroid 2026-09-08 GIS loop,,2026-09-08
ARC-PORT-016,Hammerfest LNG Terminal,ARC-CITY-017,Norway,70.6869236,23.5981352,NOHFT,14.0,3,18000000,Arc4-Arc5,85000,Yes,45000-95000,185,Equinor,Private,OSM place=island Melkøya (Equinor Hammerfest LNG); densify off Hammerfest town centroid 2026-09-08 GIS loop,,2026-09-08
ARC-PORT-017,Longyearbyen Port,ARC-CITY-018,Svalbard,78.2292987,15.601367,NOLYR,9.0,4,650000,Arc3,22000,Yes,15000-35000,65,Longyearbyen Harbor,Municipal,OSM man_made=pier Longyearbyen Main Pier Bykaia; densify off town centroid 2026-09-08 GIS loop,,2026-09-08
ARC-PORT-018,Bodo Port,ARC-CITY-019,Norway,67.285142,14.3805101,NOBOO,12.5,14,3800000,None,120000,Yes,20000-52000,680,Bodo Havn,State-owned,OSM landuse=commercial Nertorget havn Bodø; densify off city centroid 2026-09-08 GIS loop,,2026-09-08
ARC-PORT-019,Narvik Port,ARC-CITY-020,Norway,68.4294644,17.4239955,NONVK,18.5,16,25000000,Arc4-Arc5,280000,Yes,28000-72000,1450,Narvik Havn,State-owned,OSM historic memorial Narvik Havn / harbour waterfront; densify off city centroid 2026-09-08 GIS loop,,2026-09-08
ARC-PORT-020,Churchill Port,ARC-CITY-021,Canada,58.7759414,-94.1944813,CACHV,9.5,6,8500000,Arc4,145000,Yes,25000-65000,165,Arctic Gateway Group,Private/Public Partnership,,,2026-09-08
ARC-PORT-021,Iqaluit Deep Sea Port,ARC-CITY-022,Canada,63.7467,-68.5170,CAIQL,7.5,4,450000,Arc3,28000,Yes,18000-42000,55,Nunavut Sealink and Supply,State,,,
ARC-PORT-022,Tuktoyaktuk Port,ARC-CITY-033,Canada,69.4457,-133.0360,CATUK,6.5,3,280000,Arc3-Arc4,18000,Yes,12000-28000,32,Inuvialuit Regional Corporation,Indigenous,,,
ARC-PORT-023,Valdez Marine Terminal,ARC-CITY-032,USA,61.0831733,-146.3817280,USVAD,20.0,4,75000000,None,850000,Yes,55000-125000,680,Alyeska Pipeline Service Company,Private,,,2026-09-08
ARC-PORT-024,Prudhoe Bay Oil Terminal,ARC-CITY-029,USA,70.2554,-148.3816,USUUD,14.0,2,45000000,Arc4-Arc5,450000,Yes,35000-80000,245,BP/ConocoPhillips/ExxonMobil,Private,,,
ARC-PORT-025,Port of Anchorage,ARC-CITY-030,USA,61.2387,-149.9076,USANC,13.5,5,6500000,Arc3,185000,Yes,28000-72000,420,Port of Anchorage,Municipal,,,
ARC-PORT-026,Nome Harbor,ARC-CITY-034,USA,64.5011,-165.4064,USOME,7.5,3,320000,Arc3,15000,Yes,10000-25000,85,Nome Port Commission,Municipal,,,
ARC-PORT-027,Kemi Port,ARC-CITY-036,Finland,65.6747392,24.5852607,FIKEM,10.5,8,4800000,Arc4,110000,Yes,18000-42000,385,Kemi Port Authority,State-owned,,,2026-09-08
ARC-PORT-028,Oulu Port,ARC-CITY-037,Finland,64.9959866,25.4052871,FIOUL,11.5,12,6200000,Arc4-Arc5,165000,Yes,22000-55000,520,Oulu Port Authority,State-owned,OSM landuse=industrial Oulun satama Nuottasaari; densify off city centroid 2026-09-08 GIS loop,,2026-09-08
