zone_id,zone_name,country,area_sq_km,fishing_rights_regime,mineral_rights_regime,oil_gas_blocks,environmental_regulations,licensing_authority
ARC-EEZ-001,Norwegian Economic Zone,Norway,2000000,Exclusive (EEZ),Exclusive (Seabed Authority),50+ blocks under concession,Strict MARPOL/Polar Code compliance,Norwegian Petroleum Directorate/Ministry of Trade
ARC-EEZ-002,Svalbard Fisheries Protection Zone,Norway,1400000,Regulated (Spitsbergen Treaty),Disputed (Norway administers),No active licensing,Strict conservation measures,Norwegian Directorate of Fisheries
ARC-EEZ-003,Greenland Exclusive Economic Zone,Greenland/Denmark,2300000,Exclusive (EEZ),Exclusive (Self-government),Active licensing rounds,Self-government environmental laws,Greenland Bureau of Minerals and Petroleum
ARC-EEZ-004,Iceland Exclusive Economic Zone,Iceland,750000,Exclusive (EEZ),Exclusive (Seabed Authority),Exploration licenses issued,Icelandic Environmental Agency,Icelandic National Energy Authority
ARC-EEZ-005,Faroe Islands Fisheries Zone,Faroe Islands/Denmark,250000,Exclusive (Fisheries),Limited,No active oil/gas,EU/Faroe agreements,Faroe Marine Research Institute
ARC-EEZ-006,Russian Economic Zone - Barents Sea,Russia,1400000,Exclusive (EEZ),Exclusive (Rosnedra),100+ active blocks,Russian environmental regulations,Rosnedra/Ministry of Natural Resources
ARC-EEZ-007,Russian Economic Zone - Kara Sea,Russia,880000,Exclusive (EEZ),Exclusive (Rosnedra),50+ active blocks,Yamal LNG environmental monitoring,Rosnedra/Ministry of Natural Resources
ARC-EEZ-008,Russian Economic Zone - Laptev Sea,Russia,650000,Exclusive (EEZ),Exclusive (Rosnedra),Limited exploration,Arctic nature reserves,Rosnedra/Ministry of Natural Resources
ARC-EEZ-009,Russian Economic Zone - East Siberian Sea,Russia,930000,Exclusive (EEZ),Exclusive (Rosnedra),Limited exploration,Strict conservation zones,Rosnedra/Ministry of Natural Resources
ARC-EEZ-010,Russian Economic Zone - Chukchi Sea,Russia,480000,Exclusive (EEZ),Exclusive (Rosnedra),20+ exploration blocks,Chukotka special regulations,Rosnedra/Ministry of Natural Resources
ARC-EEZ-011,Canadian Arctic Economic Zone,Canada,3000000,Exclusive (EEZ),Exclusive (NRCan),Beaufort Sea active,Nunavut Impact Review Board,Natural Resources Canada/NEB
ARC-EEZ-012,Canadian Beaufort Sea Zone,Canada,450000,Exclusive (EEZ),Exclusive (NRCan),Active licensing suspended,Joint management with Inuvialuit,Inuvialuit Settlement Region
ARC-EEZ-013,United States Arctic Economic Zone,USA,800000,Exclusive (EEZ),Exclusive (MMS/BOEM),Chukchi/Beaufort active blocks,NEPA compliance required,Bureau of Ocean Energy Management
ARC-EEZ-014,Alaska Outer Continental Shelf,USA,450000,Federal management,Federal (BOEM),Cook Inlet/Chukchi active,Alaska-specific regulations,BOEM Alaska Region
ARC-EEZ-015,Finnish Economic Zone,Baltic/Arctic,80000,Exclusive (EEU),Limited,No active licensing,Baltic Sea regulations,Finnish Environment Institute
ARC-EEZ-016,Swedish Economic Zone,Baltic/Arctic,160000,Exclusive (EEZ),Limited,No active licensing,Baltic Sea regulations,Swedish Environmental Protection Agency
ARC-EEZ-017,Spitsbergen Treaty Zone,Svalbard,61000,Equal access (all parties),Norwegian administration,No mineral extraction allowed,Strict environmental protection,Governor of Svalbard
ARC-EEZ-018,Franz Josef Land Nature Reserve,Russia,16000,Restricted,No extraction,No licensing,Strict federal protection,Russian Federal Service
ARC-EEZ-019,Novaya Zemlya Nature Reserve,Russia,85000,Restricted,No extraction,No licensing,Nuclear test site restrictions,Russian Ministry of Defense
