shipyard_id,shipyard_name,location,country,latitude,longitude,specialization,dry_dock_size_m,max_vessel_size_dwt,arctic_vessel_capability,annual_capacity_ships,key_clients,ownership_type,sources,confidence,last_verified
ARC-SHIP-001,Baltic Shipyard,St. Petersburg,Russia,59.9430,30.2620,"Nuclear Icebreakers (all Project 22220 incl. Leningrad & Stalingrad + Project 10510 Rossiya RITM-400),Naval Vessels,Arctic Ships",350,80000,Arc9/Nuclear Icebreakers (RITM-200 2x175MW; breaks up to 3m ice; 22 knots),6,"Atomflot (Rosatom),Russian Navy,Rosmorport",State-owned (United Shipbuilding Corp / OSK),"world-nuclear-news.org 2026-08-25 ""Reactors installed on nuclear-powered icebreaker Leningrad"" (Project 22220; RITM-200 units ~147t, 7.3m tall, 3.3m dia, installed underwater; Leningrad 6th of class; Arktika/Sibir/Ural/Yakutia in service, Chukotka mooring tests; 173m x 34m, 3m ice, 22kn; Afrikantov OKBM + ZiO-Podolsk); neimagazine.com ""Russia's nuclear icebreaker fleet advances"" (Leningrad ~31% complete mid-2026; keel Jan 2024; delivery to Arctic fleet Dec 2028; RITM-200 on Arktika/Ural/Sibir/Yakutia); tass.com 2026-08 ""Rosatom finishes building RITM-200 reactors for Leningrad"" (ZiO-Podolsk, 40-yr life, NSR backbone); www1.ru 2026-08-21 (reactors Iskra & Grom; 175MW, 147t, 40-yr life; keel 26 Jan 2024 with Putin present; 173.3m x 34m, 60MW shaft, 33.54k t, crew 54); paluba.media (Stalingrad laid 18 Nov 2025)",95,2026-08-25
ARC-SHIP-002,Zvezda Shipbuilding Complex,Bolshoy Kamen (Far East),Russia,42.8200,132.3200,"LNG Tankers (Arc7),Icebreakers,Arctic Shuttle Tankers",450,350000,Arc7 Ice-Class,12,"Novatek,Rosatom,Rosneft",State/Private Consortium,,,
ARC-SHIP-003,Severnaya Verf,St. Petersburg,Russia,59.9420,30.2600,"Commercial Vessels,Ice-Class Ships,Naval Vessels",280,50000,Arc5-Arc7,8,"Sovcomflot,Russian Navy,Export Clients",State-owned,,,
ARC-SHIP-004,Admiralty Shipyards,St. Petersburg,Russia,59.9360,30.2750,"Submarines,Icebreakers,Specialized Vessels",300,60000,Arc7/Nuclear,5,"Russian Navy,Atomflot,Rosmorport",State-owned,,,
ARC-SHIP-005,Onega Shipyard,Arkhangelsk,Russia,64.5400,40.5200,"Fishing Vessels,Ice-Class Cargo Ships,Repair",180,15000,Arc3-Arc5,12,"Arkhangelsk Sea Port,Local Fishing Companies",Private,,,
ARC-SHIP-006,Sredne-Nevsky Shipyard,St. Petersburg,Russia,59.8750,30.2000,"Composite Vessels,Mine Countermeasures,Special Ships",200,25000,Arc4,10,"Russian Navy,Export Markets",Private,,,
ARC-SHIP-007,Amur Shipbuilding Plant,Komsomolsk-on-Amur,Russia,50.5500,137.0200,"Naval Vessels,Cargo Ships,Support Vessels",320,45000,Arc4-Arc5,6,"Russian Navy,Pacific Fleet,Rosmorport",State-owned,,,
ARC-SHIP-008,Vyborg Shipyard,Vyborg,Russia,60.7100,28.7400,"Icebreakers,Tugs,Offshore Vessels",220,20000,Arc5-Arc6,8,"Rosmorport,Private Operators,Export",Private,,,
ARC-SHIP-009,Arctech Helsinki Shipyard,Helsinki,Finland,60.1700,24.9400,"Icebreakers,Arctic Offshore Vessels,Special Ships",280,35000,Arc4-Arc7,6,"Arctia,Fingrid,Export Clients",Private (Vyborg Shipyard ownership),,,
ARC-SHIP-010,Helsinki Shipyard,Helsinki,Finland,60.1800,24.9500,"Icebreakers,Arctic Security Cutters (USCG ASC),Cruise Ships,Research Vessels",260,40000,Arc4-Arc7,4,"US Coast Guard (Davie Defense: 2 of 5 ASCs under finalized USD 3.5B contract 2026-05-13, first delivery 2028, MPPS-100 lineage; combined Helsinki+Sata workforce to 1000 by end-2026),Canadian Coast Guard (CCGS Polar Max hull assembly from 2026-05-28),Swedish Maritime Admin",Private,helsinkishipyard.fi press releases 2026-02-11/2026-05-14/2026-06-23; gcaptain.com/davie-finalizes-arctic-security-cutters-deal; navalnews.com 2026-02,92,2026-08-23
ARC-SHIP-011,Rauma Marine Constructions,Rauma,Finland,61.1300,21.5100,"Arctic Security Cutters (2x USCG ASC ~USD 1.1B finalized 2026-07-02 per DHS, first Finnish-built ASC 2028),Ferries,Cargo Ships,Ice-Class Vessels",240,30000,Arc4-Arc5,8,"US Coast Guard (up to 2 ASCs, MPI design Aker Arctic+Seaspan; awarded 2025-12-26/29, finalized 2026-07-02),Finnlines,Viking Line,Export",Private,news.uscg.mil Press-Releases Article/4368196; dhs.gov/news 2026-07-02; yle.fi/a/74-20201886; navalnews.com 2026-01,96,2026-08-23
ARC-SHIP-012,Turku Shipyard,Turku,Finland,60.4500,22.2700,"Cruise Ships,Ice-Class Ferries,Large Vessels",320,100000,Arc4-Arc6,3,"Royal Caribbean,Carnival,Viking Line",Private (Meyer Turku),,,
ARC-SHIP-013,Damen Shipyard Galati,Galati,Romania,45.4300,28.0500,"Arctic Research Vessels,Offshore Support,Ice-Class Ships",300,40000,Arc4-Arc5,15,"NOAA,Research Institutes,Commercial",Private (Damen Group),,,
ARC-SHIP-014,Aker Arctic Technology,"Merenkulkijankatu 6, Helsinki (Herttoniemi)",Finland,60.2104,25.0808,"Icebreaker Design,Arctic Vessel Consulting,Testing",N/A,N/A,Design Only,N/A,"Global Shipyards,Arctic Operators,Royal Arctic Line",Private,,,
ARC-SHIP-015,Naval Group (Arctic Capabilities),Cherbourg,France,49.6400,-1.6200,"Naval Icebreakers,Research Vessels,Submarines",350,70000,Arc5-Arc7,4,"French Navy,Export Clients",Private,,,
ARC-SHIP-016,BAE Systems (Naval Ships),Glasgow,UK,55.8600,-4.2500,"Naval Vessels,Ice-Class Patrol Ships,Research",280,40000,Arc4-Arc5,4,"Royal Navy,UK Research Councils",Private,,,
ARC-SHIP-017,Cammell Laird,Birkenhead,UK,53.3900,-3.0100,"Ship Repair,Conversions,Naval Support",380,100000,Arc4 (modification),8,"Royal Navy,Commercial Operators",Private,,,
ARC-SHIP-018,Davie Shipbuilding,Levis (Quebec),Canada,46.8000,-71.1800,"Icebreakers (incl. six C$11.3B Polar Class 3 programme icebreakers for Canadian Coast Guard at Chantier Davie),Ferries,Arctic Vessels (Davie Defense: 5x USCG Arctic Security Cutters + Polar Max)",350,60000,Arc4-Arc5,4,"Canadian Coast Guard (C$11.3B x6 Polar Class 3 programme icebreakers),US Coast Guard (Arctic Security Cutters via Davie Defense),Provincial Ferries",Private,"pm.gc.ca (official PM Carney, 24 Aug 2026: largest shipbuilding contract in Quebec history, C$11B+ x6 Polar Class 3 icebreakers, construction 2027, first ship ~2032, full fleet 2038, ~5,000 jobs, ~C$650M/yr GDP, Buy Canadian steel); newswire.ca ""Davie Awarded Historic Contract to Build Six Program Icebreakers"" (C$11.3B fixed-price x6 Program Icebreakers under National Shipbuilding Strategy; first vessel 2027; all six through 2030s; replaces aging heavy/medium icebreakers, Arctic summer ops, year-round icebreaking; Inocea); gcaptain.com + breakbulk.news + lexpert.ca + financialpost.com + everythinggp.com (C$11B, Polar Class 3, Levis, ~5,000 jobs, ICE Pact); finland Aino context (Davie/Sata) per lvm.fi",97,2026-08-25
ARC-SHIP-019,Seaspan Vancouver Shipyards,Vancouver,Canada,49.2900,-123.1200,"Polar Icebreakers,Naval Support,Offshore",320,50000,Polar Class 2-3,3,"Canadian Coast Government,Royal Canadian Navy",Private,,,
ARC-SHIP-020,Halifax Shipyard,Halifax,Canada,44.6500,-63.5700,"Arctic Patrol Ships,Ice-Class Vessels,Naval",280,40000,Arc4-Arc5,4,"Royal Canadian Navy,Canadian Coast Guard",Private (Irving),,,
ARC-SHIP-021,Vigor Shipyard,Seattle,USA,47.6000,-122.3300,"Icebreakers,Ferries,Arctic Support Vessels",260,35000,Arc4-Arc5,3,"Washington State Ferries,USCG",Private,,,
ARC-SHIP-022,VT Halter Marine,Pascagoula,USA,30.3700,-88.5600,"Arctic Research Vessels,Offshore Support",300,45000,Arc4,5,"NSF,NOAA,Academic Institutions",Private,,,
ARC-SHIP-023,Eastern Shipbuilding,Panama City,USA,30.1600,-85.6600,"Arctic Security Cutters,Offshore Vessels",320,50000,Polar Class 3-4,2,"US Coast Guard,Commercial",Private,,,
ARC-SSHIP-024,Ulstein Verft,Ulsteinvik,Norway,62.3400,6.1400,"Offshore Vessels,Expedition Ships,Arctic Support",240,30000,Arc5,6,"Hurtigruten,Offshore Operators,Research",Private,,,
ARC-SHIP-025,Vard Shipyards (Multiple),Various,Norway/Finland,Various,Various,"Expedition Ships,Cruise Vessels,Arctic Ships",280,40000,Arc4-Arc6,10,"Hurtigruten,Ponant,Seabourn",Private (Fincantieri),,,
ARC-SHIP-026,Kleven Verft,Ulsteinvik,Norway,62.3500,6.1500,"Offshore Support,Expedition Vessels,Yachts",220,25000,Arc4-Arc5,4,"Private Owners,Research Institutes",Private,,,
ARC-SHIP-027,Greenland Dockyards,Nuuk,Greenland,64.1800,-51.6900,"Small Vessels,Repairs,Fishing Boats",120,5000,Arc3 (local),8,"Royal Arctic Line,Local Fishers",Municipal,,,
ARC-SHIP-029,Northern Marine Repair,Anchorage,USA,61.2200,-149.9000,"Ship Repairs,Arctic Vessel Maintenance",N/A,N/A,Service Only,N/A,"Alaska Marine Highway,Commercial Operators",Private,,,
ARC-SHIP-030,Damen Shiprepair Amsterdam,Amsterdam,Netherlands,52.3800,4.9000,"Arctic Vessel Repair,Conversion,Ice-Class Certification",400,150000,Arc4-Arc7,20,"European Arctic Operators,Yamal Fleet",Private (Damen),,,
ARC-SHIP-031,Fayard A/S,Munkebo,Denmark,55.4600,10.5500,"LNG Carrier Repair,Arc7 Maintenance,Offshore",380,120000,Arc7,15,"Yamal LNG Fleet,European LNG Operators",Private,,,
ARC-SHIP-032,Orskov Yard,Frederikshavn,Denmark,57.4400,10.5400,"Arctic Vessel Repair,Modifications",280,60000,Arc4-Arc7,8,"NORDEN,European Arctic Fleet",Private,,,
ARC-SHIP-033,Sembcorp Marine (Arctic Capabilities),Singapore,1.2600,103.8300,"LNG Tankers,Arctic Offshore,Conversions",450,300000,Arc4-Arc5,25,"Global Arctic Operators,Conversion Projects",Private,,,,
ARC-SHIP-034,Hyundai Heavy Industries (Arctic),Ulsan,South Korea,35.5000,129.3900,"LNG Carriers,Ice-Class Tankers,Arctic Vessels",420,320000,Arc4-Arc7,30,"Global LNG Projects,Arctic Oil/Gas",Private,,,
ARC-SHIP-035,Daewoo Shipbuilding (Arctic),Okpo,South Korea,34.8800,128.7200,"LNG Carriers,Arctic Offshore Vessels",450,350000,Arc4-Arc7,25,"Global LNG Projects,Arctic Oil/Gas",Private,,,
ARC-SHIP-036,Shanghai Waigaoqiao (Arctic),Shanghai,China,31.3667,121.5667,"Container Ships,Arctic-Capable Vessels",380,200000,Arc4,20,"Cosco,Chinese Arctic Projects",State-owned,,,
ARC-SHIP-037,Jiangnan Shipyard (Arctic),Shanghai,China,31.3533,121.6917,"Research Vessels,Ice-Class Ships,Naval",320,60000,Arc4-Arc6,8,"Polar Research Institute,Chinese Navy",State-owned,,,
ARC-SHIP-038,Hudong-Zhonghua (Arctic),Shanghai,China,31.2700,121.5400,"LNG Carriers,Container Ships,Arctic Vessels",400,220000,Arc4-Arc5,15,"Chinese Energy Companies,Export",State-owned,,,
ARC-SHIP-039,Wuchang Shipyard (Arctic),Wuhan,China,30.5900,114.3100,"Polar Research Vessels,Ice-Class Support Ships",260,35000,Arc4-Arc5,6,"Polar Research Institute,Chinese Navy",State-owned,,,
ARC-SHIP-040,Mitsubishi Heavy Industries (Arctic),Nagasaki,Japan,32.7500,129.8700,"LNG Carriers,Arctic Offshore Vessels",420,180000,Arc4-Arc5,12,"Japanese Energy Companies,Export",Private,,,
ARC-SHIP-041,Kawasaki Heavy Industries (Arctic),Kobe,Japan,34.6900,135.1900,"LNG Carriers,Arctic-Capable Ships",400,170000,Arc4-Arc5,10,"Japanese Operators,International LNG",Private,,,
ARC-SHIP-042,Imabari Shipbuilding (Arctic),Imabari,Japan,34.0700,133.0000,"Bulk Carriers,Arctic-Capable Cargo Ships",350,100000,Arc4,15,Japanese and International Owners,Private,,,
ARC-SHIP-043,Fosen Yard,Rissa,Norway,64.2500,10.4500,"Ferries,Cruise Vessels,Arctic Ships",240,35000,Arc4-Arc5,4,"Norwegian Operators,Coastal Ferries",Private,,,
ARC-SHIP-044,Havyard Group,Leirvik,Norway,61.1800,6.0800,"Offshore Vessels,Arctic Support,Expedition Ships",220,30000,Arc4-Arc5,6,Norwegian and International Operators,Private,,,
ARC-SHIP-045,Sefine Shipyard,Altinova,Turkey,40.7000,29.5200,"Offshore Vessels,Arctic-Capable Ships",200,25000,Arc4,8,"European Operators,Export Markets",Private,,,
ARC-SHIP-046,Seward Shipyard (JAG Alaska / Catalyst Marine Engineering),Seward,USA,60.1042,-149.4425,"Vessel repair, dry-dock rail transfer, fabrication, welding, material handling",NULL,NULL,Arc3,20,"JAG Alaska, Catalyst Marine Engineering, Alaska fishing fleet, cruise operators (Seward Company Terminal)",Mixed (City of Seward port authority / private operators),,,
