program_id,program_name,country,city,latitude,longitude,program_type,key_benefits,eligibility,operator,status,official_url,sources,confidence,last_verified
ARC-AIR-001,Nuuk International Airport (GOH/BGGH),Greenland,Nuuk,64.1908,-51.6781,"International airport (2,200 m runway)","2,200 m runway enabling direct jet service from Copenhagen (since Nov 28 2024) and United Airlines seasonal direct flights from New York; hub for Greenland Airports network (13 airports, 46 helipads); peak 14,348 passengers Apr 2026; key logistics node for tourism, cargo, government and research traffic into West Greenland and mining/energy supply chains",Open to all airlines and passengers; international + domestic scheduled and charter operations; supports cargo/freight for northern Greenland communities and industrial projects,Greenland Airports (Mittarfeqarfiit) with Danish Government (DKK 1.6B subsidy programme),OPERATIONAL (opened Nov 28 2024),https://www.airports.gl,bloomberg.com 2024-11-28 (official opening); independent.co.uk (new international airport); airports.gl official; wikipedia.org Ilulissat Airport (DKK 1.6B program),95,2026-08-22
ARC-AIR-002,Ilulissat International Airport (JAV/BGJN),Greenland,Ilulissat,69.2433,-51.0572,"International airport (2,200 m runway) - Disko Bay hub","New 2,200 m international runway (completed Oct 2025 by Munck Group; buildings handed over by KJ Greenland A/S); scheduled to open fall 2026 (announced Oct 2026); enables direct international flights and Air Greenland direct Copenhagen-Ilulissat service from Oct 29 2026; third-busiest airport in Greenland, second-busiest international; gateway to UNESCO Ilulissat Icefjord tourism and North/West Greenland logistics","Open to all airlines/passengers; direct international + domestic operations; supports Disko Bay region tourism, shipping, energy and natural-resources business travel",Greenland Airports (Mittarfeqarfiit) with Danish Government (DKK 1.6B subsidy programme),COMMISSIONING (runway complete; opening fall 2026),https://www.airports.gl/en?p=1872,"airports.gl official (opening fall 2026); wikipedia.org Ilulissat Airport (Oct 2026 opening); airport-information.com (KJ Greenland handover; Munck 2,200 m runway); travelandtourworld.com (CPH-JAV Oct 29 2026)",92,2026-08-22
ARC-AIR-003,Qaqortoq Airport (JJU/BGJQ),Greenland,Qaqortoq,60.7153,-46.0294,"International airport (1,500 m runway, extendable to 1,799 m)","Opened Apr 16 2026 (first commercial landing; Nuuk-Qaqortoq 75-min flight); 1,500 m runway positioned for future extension to 1,799 m; year-round flights from Nuuk plus summer connections from Iceland; completes national network so whole of Greenland has international connections; replaces Narsarsuaq role for South Greenland tourism and logistics","Open to all airlines/passengers; year-round domestic + seasonal international operations; boosts South Greenland tourism, fishing logistics and community supply",Greenland Airports (Mittarfeqarfiit) with Danish Government financing,OPERATIONAL (opened Apr 16 2026),https://www.airports.gl,"straitstimes.com 2026-04-16 (AFP opening coverage); airport-information.com (Apr 16 2026 date; extension potential); delfi.com Greenland Airports case (1,500 m runway, 1,799 m extension)",90,2026-08-22
ARC-AIR-004,North-Wright Airways Hangar Expansion - Norman Wells Airport,Canada,Norman Wells,65.2816,-126.7983,Aviation infrastructure expansion (CanNor IDEANorth funded),"Four-year project to install a new hangar at Norman Wells Airport; expands North-Wright Airways capacity to operate larger aircraft; improves passenger services and cargo handling infrastructure; more reliable scheduled service to remote Sahtu Region communities; CanNor contribution up to CAD 1,000,000 (repayable); part of CAD 1,982,199 CanNor NWT package across 4 Indigenous-led projects announced Aug 10 2026 (incl. Undah Gogha timber CAD 827,999, Det'on Cho ERP CAD 123,200, Thebacha youth bootcamp CAD 31,000)",North-Wright Airways Ltd (Sahtu region aviation operator); project serves Norman Wells and remote Sahtu communities; Indigenous-led project eligible under IDEANorth,CanNor (Canadian Northern Economic Development Agency) / North-Wright Airways Ltd,ACTIVE (announced 2026-08-10; 4-year project),https://www.canada.ca/en/northern-economic-development/news/2026/08/backgrounder-the-government-of-canada-invests-over-19m-to-support-indigenous-economic-participation-in-the-northwest-territories.html,"canada.ca CanNor backgrounder (official, 2026-08-10); canada.ca news release Indigenous-led projects in the NWT",95,2026-08-22
ARC-AIR-005,"Inuvik (Mike Zubko) Airport — Runway & Access Road Upgrade (Arctic Infrastructure Fund, first project)",Canada,Inuvik,68.3042,-133.4827,Airport infrastructure (federal Arctic Infrastructure Fund + GNWT partnership),"Up to CAD 49.5M from the Arctic Infrastructure Fund (Budget 2025, CAD 1B program) to pave the cracked runway surface and replace the access road with asphalt; accommodates heavier traffic and growing cargo volumes; improves safety, reliability and year-round operations; strengthens Inuvik as key Western Arctic logistics hub serving NWT, Yukon and Beaufort Delta communities; reduces northern transport costs; first project announced under AIF; complements separate CAD 230M DND runway extension/modernization for dual-use (FOL for RCAF/NORAD)","Government of Canada (Transport Canada AIF) with Government of the Northwest Territories partnership; benefits all airlines, cargo operators and communities served by Inuvik (YEV); construction starts fall 2026, completion within ~3 years",Inuvik (Mike Zubko) Airport — GNWT Department of Infrastructure / Transport Canada Arctic Infrastructure Fund,APPROVED/FUNDED (announced 2026-08-10; construction start fall 2026),https://www.newswire.ca/news-releases/government-of-canada-announces-modernization-of-the-inuvik-mike-zubko-airport-to-begin-this-fall-887352259.html,"newswire.ca (official Government of Canada release: CAD 49.5M AIF first project, runway + asphalt access road, fall 2026 start, CAD 230M DND context); cbc.ca (official broadcaster: ministers announcement, paving + access road, ~3-year build, first AIF project); cabinradio.ca (independent: first tranche of CAD 1B AIF, FOL RCMP/CAF/NORAD role); cklbradio.com (independent: CAD ~52M NWT air package incl. hangar + Indigenous projects); rcinet.ca Eye on the Arctic (independent: permafrost resilience, CAD 230M complement)",95,2026-08-22
ARC-AIR-006,Shishmaref (Edward Burnell Sr. Memorial) Airport — Snow Removal Equipment Replacement (FAA AIP),USA,Shishmaref,66.2495,-166.0897,Airport equipment (FAA Airport Improvement Program),"USD 456,000 FAA Airport Improvement Program grant to reconstruct/replace aging snow removal equipment; part of USD 2.1M+ 5-community Norton Sound AIP round announced Jul 2 2026 (Nome USD 285K apron/taxiway/runway resurfacing; Shaktoolik, Shishmaref, Unalakleet, Wales USD 456K each); keeps airport crews operational through harsh winters; supports year-round community resupply for this erosion-affected barrier-island community",FAA AIP (funding framework since 1982; billions disbursed); administered for Alaska airports; benefits Shishmaref community and regional air service,Shishmaref Airport (State of Alaska DOT&PF) / FAA AIP,FUNDED (announced 2026-07-02),https://www.faa.gov/airports/aip,"knom.org (2026-07-02: USD 456K Shishmaref snow-removal equipment reconstruction, 5-community Norton Sound round, Rep. Nick Begich statement); faa.gov Airport Improvement Program (official: AIP funding framework since 1982)",80,2026-08-22
ARC-AIR-007,Shaktoolik Airport — Snow Removal Equipment Reconstruction (FAA AIP),USA,Shaktoolik,64.3711,-161.2239,Airport equipment (FAA Airport Improvement Program),"USD 456,000 FAA AIP grant to reconstruct/replace aging snow removal equipment; part of USD 2.1M+ 5-community Norton Sound AIP round (Jul 2 2026); maintains winter airport operability for this coastal community on Norton Sound (storm surge exposure)",FAA AIP; benefits Shaktoolik community and regional air service,Shaktoolik Airport (State of Alaska DOT&PF) / FAA AIP,FUNDED (announced 2026-07-02),https://www.faa.gov/airports/aip,knom.org (2026-07-02: USD 456K Shaktoolik equipment reconstruction); faa.gov AIP (official program),80,2026-08-22
ARC-AIR-008,Unalakleet Airport (UNK/PAUN) — Snow Removal Equipment Reconstruction (FAA AIP),USA,Unalakleet,63.8883,-160.7994,Airport equipment (FAA Airport Improvement Program),"USD 456,000 FAA AIP grant to reconstruct/replace aging snow removal equipment; part of USD 2.1M+ 5-community Norton Sound AIP round (Jul 2 2026); Unalakleet is regional hub on Norton Sound (jet-served, Bering Air base); keeps freight and passenger operations reliable through winter","FAA AIP; benefits Unalakleet community, regional freight and passenger air service",Unalakleet Airport (State of Alaska DOT&PF) / FAA AIP,FUNDED (announced 2026-07-02),https://www.faa.gov/airports/aip,knom.org (2026-07-02: USD 456K Unalakleet equipment reconstruction); faa.gov AIP (official program),80,2026-08-22
ARC-AIR-009,Wales Airport (WAA/PAIW) — Snow Removal Equipment Reconstruction (FAA AIP),USA,Wales,65.6225,-168.0950,Airport equipment (FAA Airport Improvement Program),"USD 456,000 FAA AIP grant to reconstruct/replace aging snow removal equipment; part of USD 2.1M+ 5-community Norton Sound AIP round (Jul 2 2026); Wales is westernmost mainland US community (Bering Strait, 53 km from Russia); maintains winter resupply and medevac capability for this strategic Bering Strait location",FAA AIP; benefits Wales community and Bering Strait regional air service,Wales Airport (State of Alaska DOT&PF) / FAA AIP,FUNDED (announced 2026-07-02),https://www.faa.gov/airports/aip,knom.org (2026-07-02: USD 456K Wales equipment reconstruction); faa.gov AIP (official program),80,2026-08-22
ARC-AIR-010,Kalaallit Airports International A/S - Nuuk & Ilulissat Airport Development (NIB-financed),Greenland,Nuuk,64.1814,-51.6941,Airport infrastructure investment (NIB loan + Kalaallit Airports International A/S),"NIB loans co-finance new 2,200 m runway, terminal, passenger terminal and tower at Nuuk; new 2,200 m runway, conversion of existing 845 m runway to access road, new terminal/technical building and tower at Ilulissat; redirects transatlantic flights from Kangerlussuaq; improves Arctic connectivity, reduces travel time/cost and CO2, removes market barriers and increases economic opportunity for fisheries, mineral production, eco-tourism and research","Kalaallit Airports International A/S (Government of Greenland owns 66.67%, Government of Denmark 33.33%); airport operation and development concessionnaires; airlines and logistics operators serving Nuuk/Ilulissat",NIB (Nordic Investment Bank) lender; Kalaallit Airports International A/S developer/operator,ACTIVE (under construction; financing committed),https://www.nib.int/news/nib-finances-the-development-of-greenland-airports,nib.int 'NIB finances the development of Greenland airports' (official NIB news); government.is Greenland and Iceland excerpt PDF (Iceland as gateway; Greenland airport restructuring context); en.highnorthnews.com Eimskip & Royal Arctic Line container cooperation to Greenland (shipping connectivity),88,2026-08-26
