program_id,program_name,country,city,latitude,longitude,program_type,key_benefits,eligibility,operator,status,official_url,sources,confidence,last_verified
ARC-RAIL-001,Oulu–Haparanda Cross-Border Passenger Rail Restoration (first Finland-Sweden passenger service since 1988; launched 10 Aug 2026),Finland / Sweden,Oulu–Kemi–Tornio–Haparanda (border crossing at Tornio River),65.8349,24.1376,Cross-border passenger rail service (Arctic Corridor gateway),"28 weekly VR services (2 daily returns each direction, early-morning + evening); journey Oulu-Haparanda ~1h40m; stops Oulu, Kemi, Tornio-Itäinen, Tornio, Haaparanta; timed connections to Helsinki long-distance trains; restores overland passenger rail from northern Finland into Swedish network and onward to Stockholm/Europe after 38-year break; enabled by Traficom-Swedish Transport Agency cross-border safety agreement in force 10 Apr 2026; Finnish 1,524 mm gauge now reaches Haparanda",Open public passenger service; standard VR tickets; passengers responsible for border-crossing documents,"VR Group (Finnish state railway operator, tendered service)",Active (operational since 2026-08-10),https://www.vr.fi/en/by-train-to-haaparanta,"vr.fi official operator timetable page (28 weekly services, IC 401/403/407 + returns); railjournal.com 2026-08-13 (2 daily return services, Kemi/Tornio-East/Tornio stops); helsinkitimes.fi 2026-08-10 (first train crossed border, ended 38-year break, last service 1988); junat.net (verified 13 Aug 2026: gauge detail, Traficom-Swedish Transport Agency agreement in force 10 Apr 2026); english.news.cn Xinhua 2026-08-11. NAME DISAMBIGUATION: distinct from planned Arctic Railway Rovaniemi-Kirkenes (ARC-RAIL-004)",96,2026-08-23
ARC-RAIL-002,Ofoten Line (Ofotbanen) + Iron Ore Line (Malmbanan) Kiruna–Narvik Arctic heavy-haul ore corridor,Norway / Sweden,Narvik–Riksgränsen–Kiruna–Gällivare–Malmberget–Boden,68.4385,17.4260,Heavy-haul electrified iron-ore railway (Arctic freight backbone),"43 km Norwegian section Narvik-Riksgränsen owned by Bane NOR + 398 km Malmbanan Riksgränsen-Boden owned by Trafikverket; single track electrified 15 kV 16.7 Hz AC; upgraded to 30-tonne axle load by 2003 allowing 8,600-tonne ore trains; LKAB subsidiary Malmtrafik (MTAB/MTAS) hauls iron ore from Kiruna, Malmberget and Svappavaara mines to ice-free Port of Narvik (LKAB ore port capacity 25 Mt/yr) and Port of Luleå; ~10-12 daily ore trains each way on Northern Circuit; first ore train Kiruna-Narvik 15 Nov 1902; full Narvik-Luleå electrification completed 1923 (then Europe's longest electric line); Ofotbanen is Norway's only rail link to Narvik - not connected to rest of national network; also carries CargoNet Arctic Rail Express containers + Vy passenger night train. WATCH (verified 05-Sep-2026): 60-page study prepared for the European Parliament Committee on Foreign Affairs (reported 04-Sep-2026 by tu.no, fremover.no, portseurope.com) recommends EU funding to fast-track upgrades of the Kiruna-Narvik rail-port-logistics corridor as a critical-minerals supply route and upgrading it to strategic status under the EU raw-materials framework; also calls for a permanent EU Arctic unit within the European Commission and closer EU cooperation with Norway, Iceland and Greenland (possible Canada/UK participation). European Commission/Parliament follow-up decision = next milestone. Primary document located 05-Sep-2026: European Parliament study ""Focus on the High North: Upgrading the EU's Arctic policy and protecting the EU's interests in a rapidly evolving region"" (EXAS_STU(2026)783620, requested by AFET committee, 60 pp, official PDF europarl.europa.eu) — explicitly recommends ""stimulate the Kiruna-Narvik supply corridor: fund and fast-track integrated rail, port and multimodal logistics upgrades (EU Trans-European Transport Network co-funding, CRMA strategic project label) to link Kiruna mines to Narvik port for year-round ore export""; co-funding committed Q4 2026 timeline in study action table; also calls for permanent EU Arctic unit in Commission + closer EU cooperation with Norway/Iceland/Greenland. Commission/Parliament follow-up decision = next milestone.","Freight infrastructure: operators require Norwegian/Swedish rail permits (LKAB Malmtrafik, Kaunis Iron, CargoNet, Vy); open-access regime under Bane NOR / Trafikverket",LKAB Malmtrafik i Kiruna AB (MTAB) + Malmtrafikk AS (MTAS); infrastructure owners Bane NOR (Norway) and Trafikverket (Sweden),Operational year-round (in service since 1902; 30t axle load since 2003),https://www.visitnarvik.com/ofoten-railway,"en.wikipedia.org/wiki/Ofoten_Line (43 km, Bane NOR ownership, Malmtrafik operations, 25 Mt/yr Narvik ore port); en.wikipedia.org/wiki/LKAB_Malmtrafik (MTAB/MTAS structure, 15 kV electrification, 30t axle upgrade NOK 180M context); en.wikipedia.org/wiki/Iron_Ore_Line (398 km Malmbanan, Trafikverket owner, 8,600t trains, 11-13 daily Northern Circuit); visitnarvik.com official destination page (10-12 daily ore trains, 68 wagons x 100t); nordnorge.com official Visit Northern Norway (first ore train 15 Nov 1902, most northerly standard-gauge point in Western Europe); museumnord.no (1923 electrification history, Porjus hydropower). NAME DISAMBIGUATION: Ofoten Line (Norway, Narvik-Riksgränsen) is distinct from the entire Malmbanan/Iron Ore Line (Sweden) though commonly conflated; not related to defunct private operator 'Ofotbanen Drift AS'",95,2026-09-05
ARC-RAIL-003,"Obskaya–Bovanenkovo–Karskaya Railway — world's northernmost operational railway (Gazprom Yamal gas-field line, 572 km)",Russia,"Obskaya (Labytnangi) – Bovanenkovo – Karskaya, Yamal Peninsula",66.6769,66.4435,Private heavy-haul Arctic industrial railway (energy-sector supply line),"572 km single-track 1,520 mm gauge line from Obskaya station (branch off former Salekhard-Igarka corridor) to Karskaya via Bovanenkovo (525 km point), opened for traffic 2010 with Karskaya extension Feb 2011; includes 3.9 km Yuribey Bridge across the Yuribey river floodplain; built, owned and operated by Gazprom for the Bovanenkovo gas field (Yamal project); world's northernmost operational railway; carries personnel, equipment and hydrocarbon product flows (~52 Mt petro-products transport plans reported); planned extensions: Kharasavey (to 678 km total) and branch to Sabetta/Yamal LNG; Gazprom introducing LNG-fuelled locomotives on the line",Closed corporate infrastructure serving Gazprom Yamal project operations (no public service),Gazprom (owner-operator),Operational year-round above Arctic Circle (opened 2009-2011),https://en.wikipedia.org/wiki/Obskaya%E2%80%93Bovanenkovo_Line,"en.wikipedia.org/wiki/Obskaya%E2%80%93Bovanenkovo_Line (572 km, Gazprom build/own/operate, opened 2010, Karskaya extension Feb 2011, Yuribey Bridge 3.9 km, Kharasavey/Sabetta extension plans); railwaypro.com (LNG locomotives introduction, Obskaya-Karskaya 572 km with Bovanenkovo at 525 km); offshore-energy.biz (Gazprom official launch statements, line guarantees peninsula-continent communication); thebarentsobserver.com industry desk (northernmost railway, 52 Mt petro-product flows); railwaygazette.com (PPP-funded northernmost-railway extension context). NAME DISAMBIGUATION: distinct from ARC-PORT-034 Obskaya LNG Terminal (port entry, Novy Port area 66.08/76.63) and from Salekhard-Igarka dead line it branches from",92,2026-08-23
ARC-RAIL-004,"Arctic Railway Rovaniemi–Kirkenes (planned ~500 km cross-border line to Barents Sea; joint Finnish-Norwegian studies completed, project on hold)",Finland / Norway,Rovaniemi–Sodankylä–(alignments via Neiden or Pasvik)–Kirkenes,69.7128,30.0455,Planned cross-border Arctic railway (NSR transshipment feeder) - studies/on hold,"Proposed ~500 km rail linking Rovaniemi (Finnish network) to ice-free Kirkenes deep-water port for Northern Sea Route cargo transshipment to European markets, shortening Asia-Europe transit; est. cost ~EUR 2B; Finnish Transport Agency + Norwegian railway authorities joint study examined 2-3 alignments (via Neiden, via Pasvik) with cost analysis plus impacts on transport system, mining, tourism, Sami culture and reindeer herding; private phase: Finnish Bay Area Development Oy signed MoU with Sør-Varanger Utvikling (announced at Arctic Economic Forum, Rovaniemi) to enable and accelerate planning incl. project holding companies in both countries; STATUS HONEST LABEL: government planning on hold due to weak economic prospects and Sami reindeer-herding objections; Aug-2026 social-media posts claiming 'planning started' recycle 2017-era study news - treated as stale, not new",No current eligibility - no active government funding round; historical MoU parties were Finnish Bay Area Development Oy and Sør-Varanger Utvikling IKS,Finnish Transport Agency (Väylävirasto) + Norwegian railway authorities (studies); Sør-Varanger Utvikling + Finnish Bay Area Development Oy (private MoU phase),Planned / on hold (joint study 2017-2019; no construction decision),https://www.highnorthnews.com/en/planning-arctic-railway-route-has-started,"highnorthnews.com High North News (study start, Rafaelsen quote, Neiden/Pasvik alignment options, Sami impact scope); en.highnorthnews.com (Bay Area Development Oy - Sør-Varanger Utvikling MoU, holding companies, entrepreneurship program); thebarentsobserver.com 2017-07 (Minister Berner commissioning of Finnish Transport Agency study, Sodankylä-Kirkkoniemi regional plan linkage); infranorth.eu InfraNorth academic scenario workshops (on hold due to lack of economic prospects + Sami protests); rcinet.ca Eye on the Arctic 2019 (EUR 2B estimate, Rail Baltica/EU funding context). NAME DISAMBIGUATION: this infrastructure corridor row is distinct from ARC-PROG-010 business-program row (Kirkenes Deep-Water Port + Arctic Railway Development) and from restored Oulu-Haparanda service (ARC-RAIL-001)",72,2026-08-23
ARC-RAIL-005,North Bothnia Line (Norrbotniabanan) — 270 km high-speed coastal railway Umeå–Luleå (green-transition freight corridor),Sweden,"Umeå (Västerbotten) – Skellefteå – Luleå (Norrbotten), Gulf of Bothnia coast",63.8258,20.2630,High-speed coastal railway (TEN-T core freight/passenger corridor; green-transition freight backbone),"270 km new mixed-traffic line Umeå→Luleå; halves Umeå–Luleå journey (~4h→~2h); enables heavier trains up to 1,600 t (vs 1,000–1,100 t on inland line); shortens freight transit distance for northern Sweden exports; supports green steel (SSAB Luleå), battery (Northvolt Skellefteå), critical-minerals & forestry cargoes; co-financed by EU Connecting Europe Facility; ≈SEK 40–43B (≈€3.8B); Umeå–Dåva first 12 km section opens for freight 2026; full build-out mid-2030s","Freight/passenger rail users, Ports of Luleå & Umeå; public infrastructure — no per-project grant eligibility; delivers supply-chain capacity to the region's industrial base",Swedish Transport Administration (Trafikverket) / Norrbotniabanan AB,Under construction (Umeå–Dåva 12 km freight 2026; Dåva–Skellefteå planning; Skellefteå–Luleå construction earliest 2033),https://www.trafikverket.se/norrbotniabanan,"trafikverket.se bransch.trafikverket.se (OFFICIAL Swedish Transport Administration project page: 270 km Umeå–Luleå, Umeå–Dåva open for traffic 2026, Dåva–Skellefteå ~10–12 yr construction starting 2026, Skellefteå–Luleå earliest 2033, tunnel through Ersmarksberget); en.wikipedia.org North Bothnia Line (270 km coastal news, Umeå–Dåva open 2026, Dåva–Skellefteå 2032/2036–38, freight 1.6M passengers/yr); railjournal.com 'First rails laid on Sweden's North Bothnia line' (SKr40bn, Trafikverket DG Roberto Maiorana + Infra Minister Tomas Eneroth anchored first rails Umeå, 1,600 t vs 1,000–1,100 t, halve Umeå–Luleå journey); skelleftea.se Skellefteå kommun (Trafikverket responsible for planning & construction, travel centres Skellefteå/Bureå/Byske); grokipedia.com (SEK 43B ≈€3.8B at 2021 prices, EU TEN-T, up to 250 km/h). NAME DISAMBIGUATION: distinct from the heavy-haul Iron Ore Line/Malmbanan (Luleå–Narvik) and from the planned Arctic Railway Rovaniemi–Kirkenes (ARC-RAIL-004) — this is the separate coastal North Bothnia Line now under construction",90,2026-08-25
ARC-RAIL-006,"Rail Nordica - European Standard-Gauge (1,435 mm) Nordic Railway Corridor Haparanda/Tornio-Kemi-Oulu (Narvik vision)",Finland / Sweden,"Haparanda-Tornio-Kemi-Oulu (to Narvik, Norway)",65.7361,24.5642,Cross-border standard-gauge rail corridor (NATO/EU military mobility + green-transition freight),"EUR 20M planning 2026-2029; first 30 km section Haparanda-Tornio-Kemi; >EUR 1.5B construction for line to Oulu; 1,435 mm European gauge augments existing 1,524 mm; improves military mobility & security of supply; seamless cross-border Nordic link to Narvik; aligns with TEN-T standard-gauge mandate",EU-TEN-T Member-State infrastructure programme; Finnish state + EU/NATO co-funding; planner consortium Sweco/AFRY under Vaylavirasto,Finnish Transport Infrastructure Agency (Vaylavirasto) / Ministry of Transport & Communications + Traficom,Planning (decision to launch planning 2025; EUR 20M 2026-2029),https://lvm.fi/en/-/spending-limits-session-makes-historic-decision-to-launch-rail-nordica-planning-project,"lvm.fi (Finnish Ministry of Transport & Communications official press release, Minister Lulu Ranne); railwaygazette.com 2026-06-05 (Sweco/AFRY selected as planners); en.highnorthnews.com (northern Finland-Narvik vision, EUR 20M decision). NAME DISAMBIGUATION: distinct from ARC-RAIL-001 (Oulu-Haparanda existing 1,524mm passenger service) and ARC-RAIL-004 (Arctic Railway Rovaniemi-Kirkenes)",92,2026-08-25
ARC-RAIL-007,"Steensby Railway — 149 km Mary River mine to Steensby Inlet deep-water port (Baffinland, Nunavut)",Canada,"Mary River mine - Steensby Inlet, Baffin Island (Nunavut)",71.9600,-79.6000,Heavy-haul industrial iron-ore railway (Arctic mineral export corridor),"149 km rail replaces truck haul from Mary River mine to a new deep-water port at Steensby Inlet; shifts Baffinland from single Milne Inlet truck-based operation to a rail-based dual-port system (Milne + Steensby); enables Cape-size (~180,000 DWT) bulk carriers; extends shipping season; supports production ramp from 4.2 to 22 Mtpa (dual-port target ~30 Mtpa); ~1 km ore trains running ~6.5 round trips/day; lowers cost and environmental impact vs trucking; ~80-1,200 jobs during/after construction; underpins critical-minerals iron ore supply to European steelmakers; approx US$3B project",Corporate mining infrastructure; construction contracts favour Canadian and Inuit-owned firms; no public passenger service,Baffinland Iron Mines Corporation (Energy & Minerals Group / ArcelorMittal),Approved to begin construction 2026 (all major regulatory authorizations cleared after Inuit consultations; substantial completion targeted in ~3 years; proceeding pending final debt/equity financing and contractor agreements),https://www.baffinland.com,"baffinland.com 2026-01-29 official news release (Steensby Component cleared to begin construction; 149 km rail; production 4.2 -> 22 Mtpa within 4 years); cbc.ca 2026-01-29 (149-km railway, ~1 km trains, 6.5 round trips/day, construction later 2026, completion ~3 yrs, 80-1,200 jobs); maritime-executive.com 2026-01-29 (Canada approves construction of Arctic mineral port on Baffin Island); yellowknifer.com 2026-01-29 (4.2 -> 22 Mtpa by 2030, 800-1,200 employees); maritimemag.com (rail component, ~$3B estimate); NIRB 2026 (Milne/Steensby shipping-season coordination, Tote Road ore haulage reduced once Steensby operational). NAME DISAMBIGUATION: separate from Baffinland North Railway (Milne Inlet line) and from Obskaya-Bovanenkovo ARC-RAIL-003; coordinates approximate for Steensby Inlet",90,2026-09-02
ARC-RAIL-008,Stegra – Boden Industrial Park Rail Connection to Malmbanan/Ore Line (Luleå & Narvik port corridor),Sweden,"Boden, Norrbotten (to Lulea & Narvik via Malmbanan)",65.8252,21.6893,Green-transition industrial rail-building (PPP; connects green steel plant to heavy-haul Ore Line/Malmbanan),"Direct rail link from Stegra green-H2/steel plant + Boden Industrial Park to Sweden Ore Line (Malmbanan) enabling rail transport of iron-ore pellets & finished steel to ports of Lulea and Narvik; supports Sweden road-to-rail modal shift; new Softronic electric locomotive inaugurated the connection mid-2026; separates green-industry freight from the existing Iron Ore Line heavy-haul; complements Boden Jarnvag AB 6 km PPP rail (Bodens kommun + Polar Structure, Peab contractor, sanctioned by Transportstyrelsen June 2026) and Green Cargo freight-management contract","Freight/industrial rail users (Stegra, LKAB, Green Cargo); open-access on Trafikverket/Bane NOR network; no public passenger service",Stegra AB / Boden Industrial Park / Green Cargo; infrastructure on Trafikverket (SE) + Bane NOR (NO) (Malmbanan/Ofoten),Inaugurated mid-2026 (rail connection operational; Softronic locomotive); complementary Boden Jarnvag AB PPP rail inaugurated 2026-06-09 (ahead of schedule & under budget),https://www.trafikverket.se/norrbotniabanan,"railwaynews.net (independent: Softronic locomotive inaugurated the Stegra-Boden Industrial Park rail connection mid-2026, links to Ore Line/Malmbanan for Lulea & Narvik ports, Green Cargo); peab.se 2026-06-09 (OFFICIAL Peab: railway to Boden Industrial Park inaugurated ahead of schedule & under budget, 6 km, approved by Transportstyrelsen, connects to Malmbanan/national network enabling freight to Lulea & Narvik, PPP Boden Jarnvag AB with Bodens kommun + Polar Structure); railfreight.com 2026-06-09 (OFFICIAL trade press: Green Cargo to connect Stegra steel plant to Baltic/East Coast ports Lulea, Skelleftea, Umea for early-2027 startup, also iron ore from LKAB mines to Boden). NAME DISAMBIGUATION: distinct from ARC-RAIL-002 (entire Iron Ore Line/Ofoten Line heavy-haul corridor), ARC-RAIL-005 (North Bothnia Line Umea-Lulea), ARC-RAIL-007 (Steensby) — this row is the specific Stegra-Boden Industrial Park feeder rail/spur to the Ore Line servicing green steel export.",88,2026-09-03
ARC-RAIL-009,"MTK Mohe-Nayba — China-Russia meridional corridor to the Trans-Arctic Transport Corridor (Dzhalinda border crossing - Skovorodino - Nizhny Bestyakh - Lena river - Nayba deep-water port; new rail Nizhny Bestyakh-Nayba ~1,300 km + Nayba-Magadan ~1,670 km)",Russia / China,"Nizhny Bestyakh (multimodal transfer hub, Yakutia)",62.8981,135.3215,International transport corridor (combined rail + road + river + sea),"Links Mohe (Heilongjiang, northernmost PRC city) to Laptev Sea deep-water port Nayba; Lena water leg to NSR 3,143 km vs 8,000 km Vladivostok-Tiksi (2.5x shorter, bypasses most dangerous NSR segment); relieves overloaded RZD Eastern Polygon; cargo target ~20 Mt/yr within 10 years; feeds Trans-Arctic Transport Corridor (TTK)",n/a (state-supported infrastructure corridor; international investor consortium),Investor/initiator Group VIS; KRDV; governments of Yakutia + Amur oblast + Heilongjiang PRC; Rosatom (NSR infrastructure operator); RZD; Kristall Rosta fund (pre-feasibility),"VEF-2026 agreement signed 02-Sep-2026 (announced by Minvostokrazvitiya); preliminary techno-economic justification completed WITHOUT federal budget; consortium + financing mechanisms forming; enabling works underway: Dzhalinda crossing restoration, Reynevo-Skovorodino rail reconstruction, Amur bridge, Lena bridge, Nizhny Bestyakh hub; PASS-48 CONFIRMATION (05-Sep-2026): companies.rbc.ru — preliminary total investment ~RUB 1.13T, investment phase through 2034, full named signatory list: KRDV, Republic of Sakha (Yakutia), Fond Kristall Rosta, Corporation for the Development of the Republic of Sakha (Yakutia), OOO Taimyr Invest, AO AK Zheleznye Dorogi Yakutii; portnews.ru 396345 — capacity cascade: first-stage transshipment ~300 kt, design capacity up to 30 Mt/yr (11 Mt domestic + 19 Mt transit), >2,900 km combined rail Mohe-Nayba-Magadan; Chekunkov VEF press-conference (ria.ru 03-Sep-2026): TWO Arctic agreements each exceeding RUB 1T confirmed at ministerial level, key transactions designated by Deputy PM Yuri Trutnev — corridor now party+amount cross-confirmed as deal #1 (meridional route) of the PASS-42 mapping",https://www.infranews.ru/logistika/71199-na-vef-podpisano-soglashenie-o-sozdanii-transportnogo-koridora-mohe-najba/,"infranews.ru/logistika/71199 02-Sep-2026 (agreement + Minvostokrazvitiya statement: combined border crossing, deep-water port Nayba, rail 1,300 km Nizhny Bestyakh-Nayba + 1,670 km to Magadan; Group VIS investor; Galushka/Kristall Rosta pre-feasibility quote) + yk24.ru 2026-03 (full route Changying-Lianyin-Dzhalinda-Skovorodino-Nizhny Bestyakh-Lena 1,734 km-Nayba; 3,143 km water leg; NSR Strategy to 2050 corridor formulation; Tiksi-Nayba agglomeration plan approved by RF government) + spbvedomosti.ru (Northern Forum presentation by head of Yakutia Nikolaev: ~20 Mt/yr in 10 yrs; Rosatom + RZD cooperation; Patrushev: works started) + bigasia.ru (Patrushev Maritime Collegium meeting in Yakutia: Mohe-Nayba corridor work started, Lena as international logistics artery). NAME DISAMBIG: corridor anchor port = planned Nayba deep-water port (ARC-PORT-147), distinct from existing Tiksi ports (ARC-PORT-006/036); Mohe = Heilongjiang city, distinct from Blagoveshchensk-Heihe bridge crossing + https://companies.rbc.ru/news/AXTh2TTTGj/ (VIS Group joins MTK Mohe-Nayba: ~1.13T, named consortium incl. Taimyr Invest + Railways of Yakutia, investment phase to 2034) + https://portnews.ru/news/396345/ (Mohe-Nayba-Magadan corridor: >2,900 km rail, first stage ~300 kt, full capacity 30 Mt = 11 Mt domestic + 19 Mt transit, VIS initiator/investor) + https://ria.ru/20260903/vef-2115278278.html (Chekunkov press-conference 03-Sep-2026: two Arctic agreements each >1T, designated by Trutnev — state news agency)",92,2026-09-05
ARC-RAIL-010,"TLC ""Artem"" dry port + international shuttle freight trains Grodekovo–Suifenhe (Primorye Russia-China logistics node)",Russia (Primorsky Krai),"Artem (Ussuriysk agglomeration, ~40 km N of Vladivostok; rail link to Grodekovo/Pogranichny border crossing to Suifenhe)",43.3556,132.1322,Multimodal transport-logistics centre (dry port) + cross-border rail shuttle,"Largest dry port in the Russian Far East: rail, terminal, warehouse and customs infrastructure moving storage/distribution operations off Far East seaports to raise their throughput; positioned by Sber as ""the largest port in Russia and one of the key links in the supply chain between Russia and China"". Project budget RUB 40.3B; syndicated loan RUB 31.5B for 15 years signed between VEB.RF and Sber under the ""Project Financing Factory"" mechanism (Ministry of Economic Development); VEB.RF participation RUB 7.4B, of which RUB 2.7B preferential VEB financing for priority Far East investment projects via the Minvostokrazvitiya line. Launched 03-Sep-2026 by Putin as one of four DFO projects: start of international shuttle train operations through Grodekovo–Suifenhe from the Artem TCL.",Freight operators / cargo owners using RF-PRC rail container flows via Pogranichny–Suifenhe; resident/commercial agreements with TCL operator (implementation stage 2026),Concessionaire TLC Artem (Primorsky Krai); financing VEB.RF + Sber syndicate; oversight Minvostokrazvitiya / EAEU-standard customs infrastructure,FINANCING CLOSED + LAUNCHED 03-Sep-2026 (shuttle service start announced; construction/fit-out ongoing; complements existing passenger train No.402/401 Suifenhe–Grodekovo ~878 pax/mo and planned Suifenhe–Vladivostok service),https://www.metalinfo.ru/ru/news/175521,"metalinfo.ru/ru/news/175521 (VEB.RF official press-release syndication: syndicate agreement, 40.3B budget, 31.5B/15yr, VEB 7.4B incl 2.7B preferential Minvostokrazvitiya line, Project Financing Factory, largest FE dry port spec, Dovlatov/Popov/Kolesnikov quotes) + doska.plus 03-Sep-2026 (Putin launch of four DFO projects incl. Artem TCL international shuttle trains Grodekovo–Suifenhe, 40.3B, Sber+VEB 15yr) + primamedia.ru 2435300 / interfax-russia.ru (context: Pogranichny checkpoint reconstruction 2026, Suifenhe–Vladivostok passenger plan, 402/401 ridership), conf 88, VERIFIED, name-disambig: Artem TCL dry port (this row) ≠ passenger trains No.402/401 & No.343 Grodekovo–Suifenhe (RZD passenger service) ≠ TOR/ASEZ ""Primorye"" regime rows — this is the dry-port + freight-shuttle corridor row; feeds RF-PRC cargo base of NSR/TATC southern leg",88,2026-09-04
