lane_id,lane_name,start_port_id,end_port_id,typical_distance_nm,waypoints,ice_conditions_seasonal,navigational_difficulty,average_transit_time_days,pilotage_required,icebreaker_support_required,transit_fee_range_usd,insurance_premium_multiplier,major_commercial_cargo_types,volume_estimate_teu_per_year,primary_operators,sources,confidence,last_verified
ARC-LANE-001,Northern Sea Route - Western Section,ARC-PORT-001,ARC-PORT-005,1400,Murmansk-Kanin Nos-Dikson-Kara Gates-Yamal-Kara Sea,"Winter: Heavy ice (1.5-3m), Summer: Light/No ice (July-Sept)",High,8-14,Yes,Yes (mandatory Oct-June),50000-250000,1.8-3.5,"LNG,Oil,Nickel,Iron Ore,Containers",850000,"Rosatom,Atomflot,Novatek,Nornickel",,,
ARC-LANE-002,Northern Sea Route - Eastern Section,ARC-PORT-005,ARC-PORT-036,1850,Pevek-Ayon Ice Edge-Wrangel Island-Bering Strait,"Winter: Severe ice (2-4m), Summer: Moderate ice (Aug-Oct)",Very High,12-21,Yes,Yes (mandatory year-round),75000-350000,2.2-4.0,"LNG,Coal,Gold,Containers",320000,"Rosatom,Atomflot,Chukotka Mining",,,
ARC-LANE-003,Northern Sea Route - Full Transit,ARC-PORT-001,ARC-PORT-036,3200,Murmansk-Dikson-Kara Gates-Tiksi-Pevek-Bering Strait,"Winter: Impassable, Summer: Moderate ice (Aug-Oct)",Very High,18-30,Yes,Yes (mandatory year-round),150000-500000,2.5-4.5,"LNG,Oil,Containers,General Cargo",1200000,"Rosatom,Atomflot,NewNew Shipping,Cosco",,,
ARC-LANE-004,Northwest Passage - Southern Route,ARC-PORT-021,ARC-PORT-026,3200,Churchill-Hudson Bay-Fury and Hecla Strait-Bellot Strait-Franklin Strait-Victoria Strait-Coronation Gulf-Cambridge Bay-Amundsen Gulf-Beaufort Sea,"Seasonal: Ice-free Aug-Oct only, Unpredictable ice",Very High,25-35,Yes,Yes (recommended),NULL,3.0-5.0,"Grain,General Cargo,Research Supplies",45000,"Fednav,Desgagnes,Nunavut Sealink",,,
ARC-LANE-005,Northwest Passage - Deep Water Route,ARC-PORT-021,ARC-PORT-037,3800,Churchill-Hudson Bay-Davis Strait-Baffin Bay-Lancaster Sound-Parry Channel-Viscount Melville Sound-McClure Strait-Beaufort Sea,Seasonal: Ice-free Sept only in good years,Extreme,28-40,Yes,Yes (mandatory),NULL,3.5-6.0,"Research,Expedition,Special Cargo",12000,"Canadian Coast Guard,Adventure Canada",,,
ARC-LANE-006,Barents Sea Route,ARC-PORT-001,ARC-PORT-015,950,Murmansk-Barents Sea-Kolguev Island-Novaya Zemlya-Kara Sea-Kirkenes,Year-round: Ice-free to light ice (Arc4 sufficient),Moderate,5-8,Yes,No (except winter escort),25000-85000,1.2-1.8,"Nickel,Copper,Coal,Oil,Fish",1200000,"Nornickel,Barents Naturgass,Fednav",,,
ARC-LANE-007,White Sea - Baltic Route,ARC-PORT-002,ARC-PORT-028,750,Arkhangelsk-White Sea-Kandalaksha Gulf-Barents Sea-Norwegian Sea-Baltic Sea,"Winter: Ice (0.5-1.2m), Summer: Ice-free",Moderate,4-7,Yes,Yes (Dec-April),18000-55000,1.3-2.0,"Timber,Coal,General Cargo,Fish",650000,"Arkhangelsk Sea Port,Arctic Line",,,
ARC-LANE-008,Norwegian Coastal Route,ARC-PORT-014,ARC-PORT-040,420,Tromso-Barents Sea-Soroya Island-Mageroya Island-Vardo-Honningsvag,Year-round: Ice-free,Low,2-4,No,No,12000-32000,1.0-1.2,"Fish,LNG,Oil,Containers",850000,"Hurtigruten,Coastal Express,Leroy",,,
ARC-LANE-009,Svalbard Supply Route,ARC-PORT-014,ARC-PORT-017,650,Tromso-Barents Sea-Bjornoya-Spitsbergen-Longyearbyen,"Winter: Ice edge, Summer: Ice-free",Moderate,3-5,Yes,Yes (winter only),15000-45000,1.2-1.6,"Supplies,Coal,Tourism,Research",180000,"Kings Bay,Royal Arctic Line,Hurtigruten",,,
ARC-LANE-010,Greenland Coastal Route,ARC-PORT-009,ARC-PORT-011,580,Nuuk-Disko Bay-Uummannaq-Ilulissat-Upernavik-Melville Bay,"Winter: Heavy ice (1-2m), Summer: Ice-free (July-Sept)",High,6-10,Yes,Yes (Oct-June),22000-65000,1.5-2.2,"Fish,Supplies,Container,Tourism",320000,"Royal Arctic Line,Arctic Umiaq Line",,,
ARC-LANE-011,Arctic Bridge,ARC-PORT-021,ARC-PORT-019,2600,Churchill-Hudson Bay-Hudson Strait-Davis Strait-Baffin Bay-Greenland Sea-Norwegian Sea-Narvik,"Winter: Ice (0.5-1.5m), Summer: Ice-free",Moderate,14-22,Yes,Yes (Jan-May),45000-150000,1.4-2.2,"Iron Ore,Grain,General Cargo",280000,"LKAB,Arctic Gateway Group,Fednav",,,
ARC-LANE-012,Yamal LNG Export Route,ARC-PORT-004,ARC-PORT-030,2200,Sabetta-Kara Sea-Barents Sea-Norwegian Sea-North Sea-Kaliningrad,Year-round: Ice-free to Arc7 required,Moderate,12-18,Yes,Yes (winter escort for non-Arc7),85000-220000,1.3-2.0,"LNG,Condensate",4500000,"Novatek,TotalEnergies,CNPC,Mitsui",,,
ARC-LANE-013,Ob Bay Route,ARC-PORT-004,ARC-PORT-046,800,Sabetta-Ob Bay-Salekhard-Novy Port,"Winter: Ice (1-2m), Summer: Navigable (July-Oct)",High,6-10,Yes,Yes (Nov-June),35000-95000,1.5-2.5,"Oil,Gas Condensate,Supplies",580000,"Gazprom Neft,Rosneft",,,
ARC-LANE-014,Yenisei River Route,ARC-PORT-003,ARC-PORT-046,950,Dudinka-Yenisei River-Igarka-Dikson,"Winter: River ice (1.5-2.5m), Summer: Navigable (June-Oct)",Very High,7-12,Yes,Yes (Oct-May),42000-120000,1.6-2.8,"Nickel,Copper,Cobalt,Palladium",850000,"Nornickel,Russian River Fleet",,,
ARC-LANE-015,Lena River Route,ARC-PORT-006,ARC-PORT-049,1200,Tiksi-Lena River-Yakutsk-Zhigansk,"Winter: River ice (2-3m), Summer: Navigable (June-Sept)",High,10-16,Yes,Yes (Oct-May),28000-75000,1.7-3.0,"Gold,Coal,Timber,Supplies",220000,"Yakutia Airlines (cargo),Local operators",,,
ARC-LANE-016,Alaska Coastal Route,ARC-PORT-024,ARC-PORT-037,850,Prudhoe Bay-Point Barrow-Wainwright-Kotzebue-Nome,"Winter: Heavy ice (1.5-3m), Summer: Moderate ice",High,8-14,Yes,Yes (Oct-June),NULL,2.0-3.5,"Oil Supplies,General Cargo,Fish",150000,"Crowley Marine,Alaska Marine Lines",,,
ARC-LANE-017,Beaufort Sea Route,ARC-PORT-024,ARC-PORT-038,600,Prudhoe Bay-Harrison Bay-Mackenzie Delta-Tuktoyaktuk,"Winter: Ice (2-4m), Summer: Open water (Aug-Sept)",Very High,6-12,Yes,Yes (mandatory year-round),NULL,2.5-4.0,"Oil Supplies,Drilling Equipment,Research",85000,"Crowley Marine,Maersk,Shell",,,
ARC-LANE-018,Chukchi Sea Route,ARC-PORT-037,ARC-PORT-044,750,Barrow-Wrangel Island-Provideniya-Anadyr,"Winter: Severe ice (2-3m), Summer: Moderate ice",Very High,8-15,Yes,Yes (year-round),NULL,2.2-3.8,"Supplies,Research,Coal,Gold",65000,"US Coast Guard,Russian operators",,,
ARC-LANE-019,Bering Strait Transit,ARC-PORT-044,ARC-PORT-037,480,Provideniya-Bering Strait-Wales-Barrow,"Winter: Ice (1-2m), Summer: Ice-free (July-Oct)",Moderate,3-6,Yes,Yes (Oct-June),NULL,1.5-2.5,"Container,General Cargo,Fish",320000,"American President Lines,Cosco,FESCO",,,
