program_id,program_name,country,city,latitude,longitude,program_type,key_benefits,eligibility,operator,status,official_url,sources,confidence,last_verified
ARC-PROG-001,Arctic Zone RF Resident Regime (AZRF),Russia,Murmansk,68.9585,33.0827,Special Economic Zone / Tax Regime,0% federal profit tax up to 10y; regional profit tax 0% first 3-5y; insurance contributions 3.75% for SME residents; 75% subsidy on insurance premiums for new jobs; MET/NDPI 0.5x for solid minerals; free customs zone procedure; state land without tender; registration <=37 days,Commercial org or IP registered in AZRF territory; new activity for applicant; capex <25% spent at application; investment threshold >=1M RUB,AO KRDV / Minvostokrazvitiya RF,ACTIVE under FZ-193 (13.07.2020),https://arctic-russia.ru,erdc.ru/about-azrf; forumvostok.ru/about/arctic-zone-of-the-russian-federation; investugra.ru/business/preferential-regimes/arctic-zone,VERIFIED,2026-08-21
ARC-PROG-002,AZRF Yamal Enhanced Tax Regime 2026,Russia,Salekhard,66.5299,66.6022,Regional Tax Incentive,Profit tax 0% (federal) + 15% (regional budget) for 5 years from first profit regardless of industry; removed sector restrictions,AZRF residents with signed investment agreement in Yamalo-Nenets AO; general taxation system,Government of YaNAO + Minvostokrazvitiya,ACTIVE from 2026,https://neftegaz.ru/news/gosreg/907253-yamalskie-rezidenty-arkticheskoy-zony-poluchat-rasshirennye-nalogovye-lgoty-s-2026-goda,neftegaz.ru (23.11.2025); YaNAO governor press service; 168 residents / 180+ projects RUB 55B,VERIFIED,2026-08-21
ARC-PROG-003,CanNor IDEANorth,Canada,Iqaluit,63.7490,-68.5170,Contribution Program,"Foundational infrastructure; sector growth; capacity building; innovation and productivity for territorial SMEs; for-profit repayable contributions up to 50% of eligible costs (up to C$6M), non-profit/Indigenous non-repayable up to 80%; 4 streams: sector development, business scale-up, small-scale infrastructure, infrastructure studies",Businesses/communities in Yukon NWT Nunavut,CanNor (Government of Canada),ACTIVE (2026-27 cycle: EOI closed 2025-11-17; next EOI expected Oct 2026; program slated to sunset after 2026-27),https://www.cannor.gc.ca/eng/1351104567432/1351104589057,"cannor.gc.ca; grantcompass.ca/grants/cannor-ideanorth (eligibility, sunset after 2026-27, next EOI Oct 2026); canada.ca backgrounder 2026-04-22",VERIFIED,2026-08-22
ARC-PROG-004,CanNor EBD - Indigenous Entrepreneurship (NIEOP),Canada,Yellowknife,62.4540,-114.3718,Contribution Program,Increase viable Indigenous businesses; access to capital; mentorship via delivery partners,Indigenous entrepreneurs and communities in the three territories,CanNor,ACTIVE (~$3M to 8 projects FY2024-25),https://www.cannor.gc.ca,CanNor Departmental Results Report 2024-25 cannor.gc.ca,VERIFIED,2026-08-21
ARC-PROG-005,CanNor NICI - Northern Isolated Community Initiatives,Canada,Iqaluit,63.7490,-68.5170,Fund,Local food production systems; community infrastructure; part of Budget 2024 $14.9M/3y envelope (CanNor share $9M),Northern isolated communities across Inuit Nunangat and territories,CanNor + AAFC,ACTIVE,https://www.rcaanc-cirnac.gc.ca/eng/1562853124135/1562853167783,rcaanc-cirnac.gc.ca Budget 2024 investments page; grantsofficecan.com,VERIFIED,2026-08-21
ARC-PROG-006,EntrepreNorth Business Building Program,Canada,Yellowknife,62.4540,-114.3718,Accelerator/Mentorship,Culturally relevant business-building cohorts; mentorship; community capital pathways,Indigenous and northern entrepreneurs NWT Nunavut Yukon,EntrepreNorth (CanNor-funded $3.7M),ACTIVE,https://www.cannor.gc.ca,CanNor official announcement ($3.7M investment); westernarctic.ca commentary,LIKELY,2026-08-21
ARC-PROG-007,Innovation Norway Startup Grants + Arktis2030,Norway,Tromso,69.6492,18.9553,Grants/Loans,Phase 1 market clarification NOK 50-100k; Phase 2 commercialization up to NOK 500k; innovation loans; Arktis2030 scheme for business projects in the High North,Norwegian-registered companies <3-5 years old with innovative growth concept; Arktis2030 for High North projects,Innovation Norway (state-owned),ACTIVE,https://en.innovasjonnorge.no,en.innovasjonnorge.no; thehub.io/funding/innovation-norway; um.dk Arctic finance annex (Arktis2030),VERIFIED,2026-08-21
ARC-PROG-008,Business Finland YIC - Young Innovative Companies,Finland,Oulu,65.0121,25.4651,Grant/Loan Phases,Up to 75% of project costs; Phase 1 grant max EUR 250k; Phase 2 grant max EUR 250k; Phase 3 loan up to EUR 750k,Fast-growing Finnish startups typically 3+ years using BF services before YIC,Business Finland,ACTIVE,https://www.businessfinland.fi/en/services/funding/funding-services/Young-innovative-companies,businessfinland.fi official service page; thehub.io/funding/business-finland-company-funding,VERIFIED,2026-08-21
ARC-PROG-009,Finland Starttiraha Start-up Grant,Finland,Rovaniemi,66.5039,25.7294,Living-cost Grant,EUR 37.21/day personal living support ~6 months extendable to 12 for founders starting growth-oriented business,New full-time entrepreneurs in Finland; decided by local ELY/TE services,Centre for Economic Development Transport and Environment,ACTIVE,https://nordicstartuphub.com/finlandgov,nordicstartuphub.com (single source),LIKELY,2026-08-21
ARC-PROG-010,Kirkenes Deep-Water Port + Arctic Railway Development,Norway,Kirkenes,69.7294,30.0338,Infrastructure Program (FROZEN),Planned extra-urban deep-water port + rail link to Finnish network (Arctic Corridor); COSCO interest courted pre-2022; Sør-Varanger development company preliminary deal,N/A - project frozen after 2022 sanctions environment and loss of Russian cargo base; KIMEK shipyard impact,Kommune Sor-Varanger / Kirkenes Havn,FROZEN/stalled indefinitely,https://infranorth.eu/blog/kirkenes-a-border-town-reconfiguring-alliances-and-transport-infrastructures-in-a-divided-arctic,contestedports.com/kirkenes-norway; infranorth.eu; Reuters 2022-05-11; NYT 2023-07-10,VERIFIED,2026-08-21
