city_id,city_name,country,region,latitude,longitude,population,gdp_usd,annual_trade_volume_teu,main_industries,key_commercial_actors,sources,confidence,last_verified
ARC-CITY-001,Murmansk,Russia,Northwest Russia,68.9585,33.0827,267422,6500000000,NULL,"Mining,Fishing,Shipbuilding,Logistics","SUEK,EuroChem,Murmansk Commercial Sea Port,Nornickel",,,
ARC-CITY-002,Arkhangelsk,Russia,Northwest Russia,64.5393,40.5185,351488,3200000000,NULL,"Timber,Fishing,Shipbuilding,Defense","Arkhangelsk Sea Port,Onega Shipyard,Russian Navy",,,
ARC-CITY-003,Norilsk,Russia,Krasnoyarsk Krai,69.3490,88.2070,180000,15000000000,NULL,"Nickel Mining,Copper,Palladium,Cobalt","Nornickel,Russian Platinum",,,
ARC-CITY-004,Dudinka,Russia,Krasnoyarsk Krai,69.4091,86.1775,22000,850000000,NULL,"Port Operations,Logistics,Nickel Export","Nornickel,Dudinka Sea Port",,,
ARC-CITY-005,Sabetta,Russia,Yamal Peninsula,71.2560,72.0520,2500,NULL,NULL,"LNG Export,Port Operations","Yamal LNG,Rosatom,Novatek",,,
ARC-CITY-006,Pevek,Russia,Chukotka,69.7008,170.2700,4500,120000000,NULL,"Port Operations,Mining Logistics","Chukotka Mining,Pevek Port Administration",,,
ARC-CITY-007,Tiksi,Russia,Sakha Republic,71.6400,128.8600,5500,150000000,NULL,"Port Operations,Defense,Research","Russian Navy,Russian Academy of Sciences",,,
ARC-CITY-008,Dikson,Russia,Krasnoyarsk Krai,73.5070,80.5460,600,45000000,NULL,"Port Operations,Weather Station","Rosmorport,Russian Federal Service",,,
ARC-CITY-009,Khatanga,Russia,Krasnoyarsk Krai,71.9800,102.4700,3400,75000000,NULL,"Port Operations,Research,Tourism","Khatanga River Port,Siberian Researchers",,,
ARC-CITY-010,Nuuk,Greenland,Greenland,64.1814,-51.6941,19279,850000000,NULL,"Fishing,Government,Logistics,Tourism","Royal Arctic Line,Greenland Government,KNI",,,
ARC-CITY-011,Sisimiut,Greenland,Greenland,66.9395,-53.6734,5620,180000000,NULL,"Fishing,Industry,Education","Royal Greenland,KNI",,,
ARC-CITY-012,Ilulissat,Greenland,Greenland,69.2198,-51.0986,4780,140000000,NULL,"Fishing,Tourism,Ice Export","Royal Arctic Line,Local Fisheries",,,
ARC-CITY-013,Reykjavik,Iceland,Iceland,64.1466,-21.9426,131136,18000000000,NULL,"Fishing,Aluminum,Tourism,Finance","Marel,Icelandic Group,Arion Bank",,,
ARC-CITY-014,Akureyri,Iceland,Iceland,65.6826,-18.0907,18767,650000000,NULL,"Fishing,Tourism,Education","Samherji,Eimskip",,,
ARC-CITY-015,Tromso,Norway,Northern Norway,69.6492,18.9553,76214,4200000000,NULL,"Research,Fishing,Education,Tourism","University of Tromso,Kongsberg Maritime,Leroy",,,
ARC-CITY-016,Kirkenes,Norway,Finnmark,69.7269,30.0456,3500,280000000,NULL,"Mining,Border Trade,Fishing","Bjornevatn Mine,Sydvaranger",,,
ARC-CITY-017,Hammerfest,Norway,Finnmark,70.6634,23.6821,11310,950000000,NULL,"Oil and Gas,Fishing,LNG","Equinor,Melkoya LNG Plant",,,
ARC-CITY-018,Longyearbyen,Svalbard,Svalbard,78.2232,15.6267,2400,180000000,NULL,"Research,Tourism,Mining (historical)","University Centre in Svalbard,Store Norske,Coal Mine",,,
ARC-CITY-019,Bodo,Norway,Nordland,67.2804,14.4049,52000,1200000000,NULL,"Defense,Aerospace,Fishing","Norwegian Air Force,NATO Joint Warfare Centre",,,
ARC-CITY-020,Narvik,Norway,Nordland,68.4385,17.4273,18912,850000000,NULL,"Iron Ore Export,Logistics","LKAB,Ofoten Railway",,,
ARC-CITY-021,Churchill,Canada,Manitoba,58.7684,-94.1650,900,95000000,NULL,"Port Operations,Grain Export,Tourism","Arctic Gateway Group,Fednav,Hudson Bay Railway",,,
ARC-CITY-022,Iqaluit,Canada,Nunavut,63.7467,-68.5170,7400,280000000,NULL,"Government,Logistics,Military","Government of Nunavut,Canadian Armed Forces",,,
ARC-CITY-023,Yellowknife,Canada,Northwest Territories,62.4540,-114.3718,20340,520000000,NULL,"Mining,Government,Diamonds","Dominion Diamond,De Beers,Government of NWT",,,
ARC-CITY-024,Whitehorse,Canada,Yukon,60.7197,-135.0523,28669,890000000,NULL,"Government,Tourism,Logistics","Government of Yukon,White Pass and Yukon Route",,,
ARC-CITY-025,Inuvik,Canada,Northwest Territories,68.3615,-133.7230,3288,95000000,NULL,"Government,Oil and Gas Services","Imperial Oil,Canadian Armed Forces",,,
ARC-CITY-026,Cambridge Bay,Canada,Nunavut,69.1169,-105.0594,1760,45000000,NULL,"Research,Logistics,Canadian High Arctic","Canadian Coast Guard,Polar Knowledge Canada",,,
ARC-CITY-027,Resolute,Canada,Nunavut,74.6973,-94.8297,198,12000000,NULL,"Research,Military Base,Logistics","Canadian Armed Forces,Environment Canada",,,
ARC-CITY-028,Barrow,USA,Alaska,71.2906,-156.7887,4254,180000000,NULL,"Oil and Gas,Research,Government","Ukpeagvik Inupiat Corporation,US Department of Energy",,,
ARC-CITY-029,Prudhoe Bay,USA,Alaska,70.2554,-148.3816,2300,3200000000,NULL,"Oil Production,Pipeline Operations","BP,ConocoPhillips,ExxonMobil,Alyeska Pipeline",,,
ARC-CITY-030,Anchorage,USA,Alaska,61.2181,-149.9003,291000,28000000000,NULL,"Logistics,Oil and Gas,Government,Tourism","Alaska Railroad,FedEx,UPS,ConocoPhillips",,,
ARC-CITY-031,Fairbanks,USA,Alaska,64.8378,-147.7164,32486,4100000000,NULL,"Government,Education,Military","University of Alaska,US Army Fort Wainwright",,,
ARC-CITY-032,Valdez,USA,Alaska,61.1308,-146.3603,3856,280000000,NULL,"Oil Terminal,Fishing,Tourism",Alyeska Pipeline Service Company,,,
ARC-CITY-033,Kotzebue,USA,Alaska,66.8983,-162.5967,3269,68000000,NULL,"Transport Hub,Fishing,Traditional Subsistence","Maniilaq Association,NANA Regional Corporation",,,
ARC-CITY-034,Nome,USA,Alaska,64.5011,-165.4064,3700,85000000,NULL,"Transport Hub,Mining Heritage,Tourism",Nome Port Commission,,,
ARC-CITY-035,Rovaniemi,Finland,Lapland,66.5039,25.7294,63000,2300000000,NULL,"Tourism,Technology,Wood Processing","Arctic Circle Finland,UPM-Kymmene",,,
ARC-CITY-036,Kemi,Finland,Lapland,65.7356,24.5637,21500,890000000,NULL,"Paper Industry,Port Operations,Steel","Metsa Board,Outokumpu,Kemi Port",,,
ARC-CITY-037,Oulu,Finland,Northern Ostrobothnia,65.0121,25.4651,208939,7800000000,NULL,"Technology,Wood Processing,Education","Nokia,Nordic Semiconductor,University of Oulu",,,
ARC-CITY-038,Lulea,Sweden,Norrbotten,65.5848,22.1567,77400,3200000000,NULL,"Steel Production,Technology,Port Operations","SSAB,Facebook (Data Center),Lulea University",,,
ARC-CITY-039,Kiruna,Sweden,Norrbotten,67.8558,20.2253,23000,1100000000,NULL,"Iron Ore Mining,Space Research,Space Tourism","LKAB,Esrange Space Center,Virgin Galactic",,,
ARC-CITY-040,Kaliningrad,Russia,Kaliningrad Oblast,54.7104,20.4522,489000,6500000000,NULL,"Manufacturing,Port Operations,Fishing","Kaliningrad Sea Port,Baltic Shipyard",,,
ARC-CITY-041,Murmashi,Russia,Murmansk Oblast,68.8199,32.8113,62000,420000000,NULL,"Transport Hub,Logistics","Russian Railways,Murmansk Transport Hub",,,
ARC-CITY-044,Alta,Norway,Finnmark,70.5058,23.6220,14120,320000000,NULL,"Education,Tourism,Slate Mining","Alta University College,Alta Slate",,,
ARC-CITY-045,Kautokeino,Norway,Finnmark,69.0115,23.0412,1200,45000000,NULL,"Sami Culture,Reindeer Herding,Education",Sami University of Applied Sciences,,,
ARC-CITY-046,Salekhard,Russia,Yamalo-Nenets Autonomous Okrug,66.5308,66.6019,47800,1250000000,NULL,"Natural Gas,Administration,Transport","Gazprom,Russian Government",,,
ARC-CITY-047,Novy Urengoy,Russia,Yamalo-Nenets Autonomous Okrug,66.0833,76.6333,118000,2800000000,NULL,Natural Gas Production,"Gazprom,Rosneft",,,
ARC-CITY-048,Nadym,Russia,Yamalo-Nenets Autonomous Okrum,65.5333,72.5167,45000,850000000,NULL,Natural Gas Production,Gazprom,,,
ARC-CITY-049,Yamburg,Russia,Yamalo-Nenets Autonomous Okrug,67.9240,74.4980,5800,420000000,NULL,Natural Gas Production,Gazprom,,,
ARC-CITY-050,Bovanenkovo,Russia,Yamalo-Nenets Autonomous Okrug,70.4051,68.3431,12000,650000000,NULL,"Natural Gas Production,Airport",Gazprom,,,
ARC-CITY-051,Grays Bay (port site),Canada,Nunavut (Kitikmeot),67.8700,-110.9200,0,NULL,NULL,"Deep-water port development,Critical minerals","West Kitikmeot Resources, Kitikmeot Inuit Association, ATCO",,,
ARC-CITY-052,Qaqortoq,Greenland,Southern Greenland (Kujalleq),60.7187,-46.0349,3100,,,"Fishing,Port services,Marine logistics",Royal Arctic Line,,,
ARC-CITY-053,Raahe,Finland,Northern Ostrobothnia,64.6846,24.4783,24000,,,"Steel,Ports,Logistics,Wind energy","SSAB Europe,Port of Raahe Ltd",,,
ARC-CITY-054,Unalaska (Dutch Harbor),USA,"Aleutian Islands, Alaska",53.8894,-166.5272,4500,,,"Commercial fishing, fish processing, transshipment, fleet services","UniSea, Pacific Stevedoring, CMA Terminals Alaska, Offshore Systems Inc. (OSI), Western Pioneer",,,
ARC-CITY-055,Grundartangi (Hvalfjordur),Iceland,Vesturland (West Iceland),64.3580,-21.7770,200,,,"Aluminum smelting, heavy industry, port logistics","Nordural (Century Aluminum), Faxafloahafnir (Faxaports)",,,
ARC-CITY-056,Umea,Sweden,Vasterbotten County,63.8258,20.2630,133091,,,"Education,Technology,Forest Products,Port Logistics","Umea Hamn AB / Kvarken Ports, SCA Logistics, Umea University",,,
ARC-CITY-057,Moosonee,Canada,"Ontario (Far North, James Bay coast)",51.2791,-80.6395,1700,NULL,NULL,"Transport hub (rail-barge transshipment),Tourism (Polar Bear Express),Fur trade heritage","Ontario Northland,Town of Moosonee,Moose Cree First Nation",,,
