business_zone_id,zone_name,country,zone_type,tax_incentives,infrastructure_quality,logistics_hubs,major_companies_present,investment_opportunities
ARC-BIZ-001,Murmansk Transport Hub,Russia,Free Economic Zone,Reduced profit tax (13.5%),High (modern port infrastructure),"Murmansk Commercial Port,Lavna Terminal,Railway hub","SUEK,EuroChem,Nornickel,NTK","Port expansion,LNG bunkering,Arctic logistics center"
ARC-BIZ-002,Arkhangelsk Special Economic Zone,Russia,Industrial SEZ,Tax holidays (5-10 years),Medium (upgrading),"Arkhangelsk Port,Timber terminals","Arkhangelsk Sea Port,Onega Shipyard","Timber processing,Shipbuilding,Arctic support services"
ARC-BIZ-003,Norilsk Industrial Zone,Russia,Extractive Zone,Mineral extraction tax regime,High (mining infrastructure),"Dudinka Port,Yenisei River fleet,Norilsk Airport",Nornickel (monopoly operator),"Downstream processing,Rare earth extraction,Logistics optimization"
ARC-BIZ-004,Yamal LNG Industrial Zone,Russia,Project Zone,Special development terms,High (purpose-built),"Sabetta Port,Obskaya railway extension","Novatek,TotalEnergies,CNPC,Mitsui,Japan Arctic LNG","LNG expansion (Arctic LNG 2),Helium extraction,Local content development"
ARC-BIZ-005,Chukotka Priority Development Area,Russia,Far East PDA,Zero profit tax (10 years),Developing (major investments planned),"Pevek Port,Chaun Bay facilities","Chukotka Mining,Bema Gold (historical)","Gold mining expansion,Coal export,Arctic logistics hub"
ARC-BIZ-006,Sabetta Port Zone,Russia,Port FEZ,Reduced tax rates,High (world-class LNG terminal),"Sabetta LNG Terminal,Apron terminal","Novatek,Rosatom (NSR operations)","LNG bunkering services,Arctic container terminal,Service base"
ARC-BIZ-007,Nuuk Commercial Zone,Greenland,Capital Region,Greenland tax framework (30% CIT),Medium (expanding),"Nuuk Port,Nuuk Airport","Royal Arctic Line,Air Greenland,KNI,BankNordik","Port expansion,Tourism infrastructure,Arctic logistics hub"
ARC-BIZ-008,Sisimiut Industrial Zone,Greenland,Regional Hub,Greenland tax framework,Medium,"Sisimiut Port,Sisimiut Airport","Royal Greenland,Local fisheries","Fish processing expansion,Arctic shipping support,Education services"
ARC-BIZ-009,Icelandic Arctic Hub,Reykjavik,Iceland,Standard OECD rates (20%),High,"Reykjavik Port,Keflavik Airport","Marel,Icelandic Group,Arion Bank,LSH","Arctic research services,Data centers,Green technology"
ARC-BIZ-010,Akureyri Arctic Gateway,Iceland,Regional Hub,Standard rates,Medium,"Akureyri Port,Akureyri Airport","Samherji,Eimskip,University of Akureyri","Arctic marine services,Fishing technology,Research"
