program_id,program_name,country,city,latitude,longitude,program_type,key_benefits,eligibility,operator,status,official_url,sources,confidence,last_verified
ARC-FAC-001,"Norwegian Hydrogen Tornio Green Hydrogen Plant (initial 50-100 MW electrolysis, expandable 600 MW-1 GW; 20-ha site reserved in Arctic North industrial area near Röyttä port)",Finland,Tornio (Arctic North industrial area; coords approx.),65.7800,24.1500,Industrial energy facility (green hydrogen production),"Initial 50-100 MW green hydrogen capacity with long-term expansion path to 600 MW-1 GW serving Tornio-Kemi industrial cluster (Outokumpu steel, port of Tornio/Röyttä ARC-PORT-064); strengthens Bothnian Arc hydrogen valley (BotH2nia / EU Clean Hydrogen Partnership)",Industrial offtakers in Tornio-Kemi cluster; B2B hydrogen supply,Norwegian Hydrogen AS via Norwegian Hydrogen Finland Oy (Project Director Petri Luoma),Planning (site reserved; project listed as Planning/2026 on Finnish H2 cluster registry),https://norwegianhydrogen.com/news/expansion-into-finland-tornio,norwegianhydrogen.com (official announcement + Tornio Hydrogen Hub project page); h2cluster.fi projects registry (capacity 50-100 MW expandable 600 MW-1 GW); NAME DISAMBIGUATION: distinct from Norsk e-Fuel Project Tornio (ARC-FAC-002) and from Verso Energy Arctio North - three separate Tornio-area H2 projects,85,2026-08-23
ARC-FAC-002,"Norsk e-Fuel Project Tornio — CO-to-eSAF Power-to-Liquid Plant (~EUR 1.5B class; 80,000-100,000 t/yr eSAF from Outokumpu ferrochrome carbon-monoxide side streams; feasibility study 2026, FID ~2028, production start planned ~2032)",Finland,"Koivuluoto, Tornio (adjacent to Outokumpu stainless steel & ferrochrome mill; coords approx.)",65.7850,24.1450,Industrial energy facility (Power-to-Liquid sustainable aviation fuel),"~EUR 1.5B investment scale (globalflowcontrol.com); 80-100 kt/yr eSAF supporting EU aviation SAF quota; cuts Outokumpu direct CO2 emissions up to 200,000 t/yr; integrated into Kemi-Tornio industrial cluster with clean electricity and single-point CO side-stream collection; Boeing strategic collaboration on Nordic e-SAF (Apr 2026)",Aviation-sector offtakers (commercial + defence aviation); EU eSAF quota compliance buyers,Norsk e-Fuel AS (MoU signed with Outokumpu Oyj),"Planning/MoU signed — feasibility study 2026, investment decision anticipated ~2028, production start ~2032",https://www.norsk-e-fuel.com/projects,norsk-e-fuel.com (official MoU press release + Projects page); aviationweek.com; arctictoday.com; globalflowcontrol.com; boeing.com (Boeing-Norsk e-Fuel Nordic e-SAF expansion); NAME DISAMBIGUATION: distinct from Norwegian Hydrogen Tornio (ARC-FAC-001) and Nordic Electrofuel (separate Norwegian company),90,2026-08-23
ARC-FAC-003,Oulun Energia Laanila Green Hydrogen Plant (100 MW electrolysis with PtX production and waste-heat utilisation; EIA report published; FID not yet active per operator),Finland,"Laanila industrial area, Oulu (coords approx.)",65.0600,25.4700,Industrial energy facility (green hydrogen / PtX),100 MW hydrogen production plant with power-to-X and waste-heat utilisation feeding Oulu energy system and industry; part of city-backed plan for three new hydrogen plants in Oulu; EIA programme/report completed (both2nia.com); completion target 2028 at earliest,Industrial and mobility offtakers in Oulu region,Oulun Energia (with P2X Solutions Oy cooperation on EIA per both2nia.com),"Planning — EIA report published; investment decision NOT yet taken (operator lists 'Investment decision and construction' as inactive; earlier estimates pointed to autumn 2025 decision, slipped)",https://www.oulunenergia.fi/en/oulun-energia/Development-of-the-energy-system/laanila-hydrogen-project,"oulunenergia.fi (official project page: 100 MW, FID status); arctictoday.com; ouka.fi (City of Oulu: three new H2 plants planned); both2nia.com (EIA report published); power-to-x.com; renewablesnow.com; NAME DISAMBIGUATION: distinct from P2X Solutions' own GHP02 Joensuu plant",85,2026-08-23
ARC-FAC-004,Grangex Sydvaranger Mine Restart - Europe's Third-Largest Iron Ore Mine (DR-grade 70% Fe magnetite; DFS complete Aug 2025; first shipment Nov 2026),Norway,"Kirkenes, Sør-Varanger (mine site just S/SE of town; coords approx.)",69.6830,30.0500,Industrial mining facility (iron ore / direct-reduction magnetite concentrate),"DFS confirmed techno-economic feasibility: pre-tax NPV8 US$1,522M, IRR 37.7%, Phase 1 capex US$193.6M + Phase 2 US$223.8M, 25-year mine life producing 63.3 Mt of 70.0% Fe ultra-high-grade direct-reduction magnetite concentrate (LoM cash cost US$56.1/t conc, avg FOB price US$138.2/t); ~3 Mt/yr output supplies European green-steel market, exported via adjacent Kirkenes port (cf. ARC-PORT-015) with Fastmarkets-verified Kirkenes FOB pricing basis; operating concession + environmental permits already held; E. Hartikainen subsidiary selected as construction contractor; SLR recommendation to proceed to funding phase",Private industrial project (no public grant eligibility; listed on Nasdaq First North Growth Market),GRANGEX AB (publ) - Swedish-listed mining company,"Care & maintenance now; restart operations planned Nov 2026 with first commercial exports late 2026, commercial production ramp through 2027 (operator project page)",https://www.grangex.se/en/completion-of-a-definitive-feasibility-study-for-the-restart-of-operations-at-the-sydvaranger-mine,"grangex.se (official DFS press release + Sydvaranger project page incl. 'Europe's third-largest iron ore mine', permits held, Nov 2026 restart); view.news.eu.nasdaq.com + storage.mfn.se (official Nasdaq/MFN release distribution with full DFS table); im-mining.com 2025-09-01; miningmetalnews.com 2025-09-04; finance.yahoo.com; NAME DISAMBIGUATION: distinct from historic Norwegian state entity Sydvaranger Grupe AS (Tschudi group era, bankrupt) and from Kirkenes port tugboat-services row ARC-PORT-097",92,2026-08-23
ARC-FAC-005,"NunaGreen/Nukissiorfiit Utoqqarmiut Kangerluarsunnguat (Buksefjord) Hydropower Expansion - 76.9 MW new station, total capacity 45->121 MW",Greenland,Buksefjorden near Nuuk,63.9211,-50.8909,Industrial energy facility (hydropower expansion; largest hydropower project ever undertaken in Greenland),New power station at lake Kangerluarsunnguup Tasersua with turbines totalling 76.9 MW; 16 km transfer tunnel connecting lakes Kangerluarsunnguup Tasersua and Isortuarsuup Tasia; ~37 km transmission line with new substations to existing plant; total capacity nearly triples 45->121 MW securing Nuuk renewable supply; EIB-listed implementation 2025-2031 adding ~515 GWh/a green generation; Naalakkersuisut granted 40-year exploitation license to NunaGreen A/S + Nukissiorfiit; access/construction road completed by local contractor GNC in 2025 season (14 km rehabilitated + ~5 km new); turnkey BAFO tender prequalified 3 consortia incl. JV COBRA-MTH Buksefjorden HPP (Spain/Denmark) and Thyssen Schachtbau GmbH + Alberto Couto Alves S.A.,Turnkey EPC contractors via public procurement; offtake = Nuuk grid via Nukissiorfiit; local supplier partnerships facilitated with Greenland Business Association,NunaGreen A/S (developer/constructor) + Nukissiorfiit (owner-operator after completion),"Under development - construction begins 2026, commissioning 2032",https://nunagreen.com/our-projects/hydropower-project-in-utoqqarmiut-kangerluarsunnguat-buksefjord,"nunagreen.com (official developer pages: 76.9 MW, 16 km tunnel, 37 km line, 45->121 MW, 2032, license + consortia); gem.wiki Global Energy Monitor (exact coordinates 63.9211 -50.8909; owner NunaGreen AS, operator Nukissiorfiit, 77 MW planned unit 2032); hydropower-dams.com (DKK 1.8B / USD 266.7M indicative turnkey value, EU procurement notice 26 Apr); eib.org project 20220715 (implementation 2025-2031, +515 GWh/a, Nuuk redundancy); NAME DISAMBIGUATION: Buksefjord plant near Nuuk is DISTINCT from Ilulissat hydropower plant (22.5 MW, Verkis, Disko Bay) and from Disko Bay/Qasigiannguit plant (ARC-FAC-006)",92,2026-08-24
ARC-FAC-006,"Nukissiorfiit/NunaGreen Disko Bay Hydropower Plant - 21 MW (3 x 7 MW) at Kangersuneq fjord south of Qasigiannguit, supplying Qasigiannguit + Aasiaat",Greenland,"South of Qasigiannguit, Disko Bay (Qeqertalik municipality)",68.7500,-51.3000,"Industrial energy facility (run-of-reservoir hydropower, no dam)","21 MW installed capacity (three 7 MW turbines), up to 100 GWh/yr replacing diesel/oil-based electricity AND heat for Qasigiannguit + Aasiaat (combined population ~4,300); transfer tunnel over 6 km linking Kangersuneq fjord with Kuussuup Tasia lake reservoir; two transmission lines to transformer stations near Qasigiannguit and in Aasiaat (second line crosses Naternaq Ramsar site - thorough EIA committed); financed under Greenland parliamentary act authorizing Naalakkersuisut loans totalling DKK 3.1B (~USD 480M) on-lent to Nukissiorfiit covering this plant plus Buksefjord expansion (ARC-FAC-005); NunaGreen Construction Disko Bay A/S subsidiary established Jan 2025 with ~DKK 20M preparation investment in 2024",Public procurement for design/build contracts; offtake = Qasigiannguit + Aasiaat town grids via Nukissiorfiit,Nukissiorfiit (owner-operator) with NunaGreen Construction Disko Bay A/S (construction),"Approved/pre-construction - parliamentary act approved 2021; construction start 2026, full commissioning target ~2028+",https://nunagreen.com/our-projects/vandkraftprojekt-i-diskobugten,"nunagreen.com (official: 21 MW, 3 turbines, >6 km tunnel, Qasigiannguit+Aasiaat supply, no dam, Ramsar EIA); hydropower-dams.com (Kangersuneq fjord location, 3 x 7 MW, 100 GWh/yr, Kuussuup Tasia reservoir, DKK 3.1B financing act); nunatsiaq.com 2021-11-16 (parliamentary approval of both projects); tradeinvest.gl (official investment promotion: Nuuk expansion + Disko Bay plant preparation); NAME DISAMBIGUATION: distinct from Ilulissat hydropower plant (22.5 MW) and from Buksefjord ARC-FAC-005; coordinates approximate (fjord-area centroid)",88,2026-08-24
ARC-FAC-007,"ON Power Hellisheidi Geothermal Expansion (Reykjavik Energy) - district heating 220->345 MWth + new 5 MWe production well (NIB EUR 32M / ISK 4,625M 10-yr loan; ISK 6,338M total project cost)",Iceland,"Hengill, SW Iceland (~11 km from Nesjavellir station)",64.0372,-21.4008,Industrial energy facility (geothermal CHP expansion under NIB Arctic Financing Facility 100%),"+125 MWth district-heating capacity for Reykjavik capital area (220->345 MWth); new production well with 5 MWe net electric output; ~75,000 MWh/yr additional renewable heat at peak demand; 100% climate-mitigation / NEB renewable-energy eligible; strengthens supply security amid 120 L/s annual peak hot-water demand growth","Utility infrastructure project (no open eligibility); owned/operated by ON Power (Orka naturrunnar), subsidiary of Orkuveita Reykjavikur (Reykjavik Energy)",ON Power (Orka naturrunnar) / Reykjavik Energy (Orkuveita Reykjavikur); financed by Nordic Investment Bank,Under construction/expansion 2025-2027 (loan signed 13 Apr 2026),https://www.nib.int/news/nib-supports-geothermal-power-production-increase-in-iceland,https://www.nib.int/news/nib-supports-geothermal-power-production-increase-in-iceland ; https://www.nib.int/loan/orkuveita-reykjavikur-81901 ; https://www.thinkgeoenergy.com/reyjkavik-energy-secures-eur-32m-loan-for-capacity-expansion-of-hellisheidi-geothermal-plant-in-iceland ; https://en.wikipedia.org/wiki/Hellishei%C3%B0i_Power_Station,95,2026-08-24
ARC-FAC-008,"Rosatom Shelf-M Small Nuclear Power Plant (ASMM) at Sovinoye Gold Deposit - transportable PWR nuclear battery, 10 MWe / 35 MWt (construction from 2027, physical start-up target 2030)",Russia,"Sovinoye gold deposit, Iultinsky District, Chukotka AO (Chukchi Sea coastal area; cf. ARC-PROG-303; coords approx.)",68.4500,-179.4000,Industrial energy facility (transportable small modular nuclear power plant powering remote Arctic mine),"World-first plant of its class: ultra-compact transportable pressurised-water 'nuclear battery' delivering up to 10 MWe electric / 35 MWt thermal; replaces diesel generation for Sovinoye full-cycle GOK (>100 t Au reserves, RUB 12B+ development); 2026-07 regulatory/techno-economic milestone secured viability + licensing roadmap (NEI); ARMZ (Atomredmetzoloto) + RAOS JSC cooperation framework; reported schedule: construction 2027, physical start-up 2030, commercial operation ~2032; self-cooling passive-safety design per developer claims",Single-customer industrial project (no public eligibility); strategic Rosatom Mining Division supply-chain vendors,RAOS JSC (Rosatom small-NPP sector integrator) with AO Rosatom Nedra / ARMZ Mining Division,Planning/licensed-development (site confirmed among five Arctic Shelf-M candidates 2024; 2026 viability milestone passed; construction planned from 2027),https://www.neimagazine.com/news/rosatom-advances-shelf-m-smr,"https://www.neimagazine.com/news/rosatom-advances-shelf-m-smr (NEI Magazine, 2026-07-17: 10 MWe/35 MWt, viability milestone) ; https://goarctic.ru/work/zolotodobyvayushchiy-proekt-rosatoma-na-12-mlrd-rubley-stal-rezidentom-azrf-chto-uskorit-razrabotku- (GoArctic 2026-06-19: 35 MWt ASMM for Sovinoye) ; https://www.world-nuclear-news.org/Articles/Shelf-M-project-being-developed-for-Sovinoye-gold (WNN 2023: ARMZ-RAOS agreement) ; https://www.neimagazine.com/news/rosatom-to-construct-10-mwe-shelf-m-to-power-chukotka-gold-mine-11442870 (five-site selection, Iultinsky District) ; NAME DISAMBIGUATION: Shelf-M (10 MWe transportable) DISTINCT from KLT-40S floating plant Akademik Lomonosov and from RITM-series SMRs (Yakutia land-based); coordinates approximate (deposit-area centroid)",88,2026-08-24
ARC-FAC-009,"MIGUNI LLC Anadyr Logistics Warehouse - AZRF Resident Project (RUB 52.5M; phase-1 200 m2 expanding to 1,200 m2 with container yard by 2029)",Russia,"Anadyr, Chukotka AO (near main transport corridors/nodes)",64.7314,177.4969,Logistics warehouse / cargo terminal (AZRF resident investment project under KRDV agreement),"High-tech logistics warehouse near Chukotka's main transport arteries; phase 1: 200 m2 building; staged expansion to 1,200 m2 via container platform; services: storage lease, loading, packing, transportation; RUB 52.5M planned investment; AZRF resident tax incentives fund construction + equipment; improves last-mile distribution for Russia's easternmost regional capital",Single-company industrial project (no open eligibility); AZRF resident MIGUNI LLC under investor agreement with KRDV,"MIGUNI LLC (OOO Miguni), AZRF resident; supported by KRDV AZRF investment-project department",Under construction (completion targeted by 2029),https://erdc.ru/news/v-anadyre-k-2029-godu-poyavitsya-logisticheskiy-sklad-nedaleko-ot-osnovnykh-transportnykh-magistrale,"https://erdc.ru/news/v-anadyre-k-2029-godu-poyavitsya-logisticheskiy-sklad-nedaleko-ot-osnovnykh-transportnykh-magistrale (official KRDV, 2026-07-22) ; https://news.ati.su/news/2026/08/16/novyj-sovremennyj-sklad-v-stolitse-chukotki-planirujut-sdat-v-ekspluatatsiju-do-2029-goda-218078 ; https://trans.ru/news/adaptirovannii-pod-surovie-usloviya-krainego-severa-na-chukotke-postroyat-mnogofunktsionalnii-logisticheskii-tsentr ; https://prochukotku.ru/news/prodovolstvie_i_torgovlya/v_anadyre_postroyat_mnogoprofilnyy_logisticheskiy_tsentr",90,2026-08-24
ARC-FAC-010,"RVB (Wildberries & Russ) Arkhangelsk Sorting Center - ~50,000 m2 AZRF Resident E-commerce Logistics Hub",Russia,"Arkhangelsk, Arkhangelsk Oblast (land plot selected in city)",64.5401,40.5433,E-commerce sorting/logistics center (~50K m2; AZRF resident investment project under KRDV agreement),"~50,000 m2 sorting center accelerating goods delivery into the Russian Arctic zone; AZRF resident status grants administrative preferences + tax incentives; part of RVB nationwide logistics build-out (Amur, Primorsky, Zabaykalsky projects operational pipeline; planned warehouses in Sakha (Yakutia), Buryatia, Sakhalin); Sept 2025 investment agreement signed by RVB head Tatyana Kim and Governor Alexander Tsybulsky; 292 AZRF residents operate in Arkhangelsk Oblast under KRDV agreements",Single-company industrial project (no open eligibility); AZRF resident RVB (United Company Wildberries & Russ) under KRDV agreement,RVB (Obedinennaya kompaniya Wildberries & Russ); partnership with KRDV + Government of Arkhangelsk Oblast,"Approved/site selected (resident status granted Jan 16, 2026; construction pending)",https://msp29.ru/news/novyj-rezident-azrf-kompaniya-rvb-postroit-v-arhangelske-logisticheskij-czentr,https://msp29.ru/news/novyj-rezident-azrf-kompaniya-rvb-postroit-v-arhangelske-logisticheskij-czentr ; http://www.metalinfo.ru/ru/news/180314 ; https://arh.mk.ru/economics/2026/01/16/v-arkhangelske-postroyat-krupnyy-logisticheskiy-centr-wildberries.html ; https://news.ati.su/news/2026/01/16/wildberries-postroit-sortirovochnyj-tsentr-v-arhangelskoj-oblasti-497771,90,2026-08-24
