icebreaker_id,vessel_name,owner_operator,country,ice_class,power_kw,length_m,beam_m,draft_m,year_built,service_speed_kn,operational_range_nm,primary_service_route,charter_rate_usd_per_day,availability_months
ARC-ICE-001,NS Arktika,Atomflot,Russia,Arc9/Polar Class 1,60000,173.3,34.0,10.5,2020,22,75000,NSR Western and Eastern,350000-500000,Year-round
ARC-ICE-002,NS Sibir,Atomflot,Russia,Arc9/Polar Class 1,60000,173.3,34.0,10.5,2021,22,75000,NSR Western and Eastern,350000-500000,Year-round
ARC-ICE-003,NS Ural,Atomflot,Russia,Arc9/Polar Class 1,60000,173.3,34.0,10.5,2022,22,75000,NSR Full Transit,350000-500000,Year-round
ARC-ICE-004,NS Yakutia,Atomflot,Russia,Arc9/Polar Class 1,60000,173.3,34.0,10.5,2024,22,75000,NSR Eastern Section,350000-500000,Year-round
ARC-ICE-005,NS Rossiya (Project 10510 Leader),Atomflot,Russia,Arc9/Polar Class 1,120000,209.0,47.7,13.0,2028,24,85000,Arctic High Latitudes,NULL,Year-round (planned)
ARC-ICE-006,Taymyr,Atomflot,Russia,Arc9/Polar Class 1,35000,151.8,29.2,9.0,1987,18.5,65000,Yenisei River and Western NSR,280000-400000,Year-round
ARC-ICE-007,Vaygach,Atomflot,Russia,Arc9/Polar Class 1,35000,149.7,29.2,9.0,1990,18.5,65000,Ob Bay and Western NSR,280000-400000,Year-round
ARC-ICE-008,50 Let Pobedy,Atomflot,Russia,Arc9/Polar Class 1,55000,159.6,30.0,11.0,2007,21,70000,High Arctic Expeditions,320000-450000,Year-round
ARC-ICE-009,Yamal,Atomflot,Russia,Arc9/Polar Class 1,55000,150.0,30.0,11.0,1992,20.6,68000,NSR and Tourism,280000-400000,Year-round
ARC-ICE-010,Ob,FSUE Rosmorport,Russia,Arc7,25700,142.0,27.8,8.7,2019,17,45000,Gulf of Finland and Baltic,120000-180000,Year-round
ARC-ICE-011,Novorossiysk,FSUE Rosmorport,Russia,Arc7,25700,142.0,27.8,8.7,2019,17,45000,Gulf of Finland and Baltic,120000-180000,Year-round
ARC-ICE-012,Vladivostok,FSUE Rosmorport,Russia,Arc7,25700,142.0,27.8,8.7,2019,17,45000,Gulf of Finland and Baltic,120000-180000,Year-round
ARC-ICE-013,Murmansk,FSUE Rosmorport,Russia,Arc7,25700,142.0,27.8,8.7,2020,17,45000,Gulf of Finland and Baltic,120000-180000,Year-round
